system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
The mountain car continuous environment is a 2D world where the agent (car) is in a U shaped valley, and a torque can be applied to the car (left is negative and right is positive). 
The state is a vector of 2 elements, representing position (-1.2 to 0.6) and velocity (-0.07 to 0.07) respectively. Negative means left and positive means right for both position and velocity. The goal is to reach the flag at the far right side of the hill. 
The policy is a linear policy with 3 parameters and works as follows: 
action = position * params[0] + velocity * params[1] + params[2]
The reward is -0.1 * action^2 for each step, and 100 if the cart reaches goal. The goal is to reach the flag at the far right side of the hill. 

# Regarding the parameters **params**:
**params** is an array of 3 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[2]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 100.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 1.0**.


Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: 2; params[1]: -2; params[2]: 0; f(params): -262.14
params[0]: -4; params[1]: -1; params[2]: 0; f(params): -179.24
params[0]: 1; params[1]: 0; params[2]: 1; f(params): -37.16
params[0]: 0; params[1]: 0; params[2]: 0; f(params): 0.00
params[0]: -3; params[1]: 0; params[2]: 1; f(params): -360.47
params[0]: 4; params[1]: 1; params[2]: 0; f(params): -1046.56
params[0]: 5; params[1]: -5; params[2]: 0; f(params): -1710.70
params[0]: -1; params[1]: 2; params[2]: -3; f(params): -492.25
params[0]: -2; params[1]: 2; params[2]: 5; f(params): -3085.12
params[0]: 0; params[1]: 0; params[2]: 1; f(params): -99.90
params[0]: -2; params[1]: 1; params[2]: 2; f(params): -656.24
params[0]: -1; params[1]: -1; params[2]: 0; f(params): -18.98
params[0]: 3; params[1]: -1; params[2]: 0.5; f(params): -389.77
params[0]: 0; params[1]: 0; params[2]: 2; f(params): -399.60
params[0]: 1.5; params[1]: 0.5; params[2]: 0; f(params): -145.91
params[0]: 2; params[1]: 0; params[2]: 2; f(params): -218.19
params[0]: -2; params[1]: -1; params[2]: 0; f(params): -56.19
params[0]: -5; params[1]: 2; params[2]: 2; f(params): -1195.27
params[0]: -1; params[1]: 0; params[2]: 1; f(params): -166.79
params[0]: -4; params[1]: 0; params[2]: 1; f(params): -486.83
params[0]: -4; params[1]: 4; params[2]: 4; f(params): -2661.58
params[0]: -5; params[1]: -5; params[2]: 5; f(params): -4099.33
params[0]: -2; params[1]: 2; params[2]: 0; f(params): -66.65
params[0]: 1; params[1]: 2; params[2]: 0; f(params): -60.02
params[0]: 1; params[1]: -1; params[2]: 0; f(params): -45.11
params[0]: 0; params[1]: 0; params[2]: 3; f(params): -899.10
params[0]: 2; params[1]: 2; params[2]: 0; f(params): -270.17
params[0]: 0; params[1]: 0; params[2]: 5; f(params): -2497.50
params[0]: -1; params[1]: -1; params[2]: 1; f(params): -166.09
params[0]: 2; params[1]: 0; params[2]: 1; f(params): -1.54
params[0]: -2; params[1]: 0; params[2]: 0; f(params): -58.44
params[0]: 0; params[1]: 1; params[2]: 0; f(params): -0.00
params[0]: -6; params[1]: 0; params[2]: 6; f(params): -5987.67
params[0]: -5; params[1]: 0; params[2]: 0; f(params): -289.07
params[0]: -3; params[1]: 1; params[2]: 0; f(params): -125.67
params[0]: -2; params[1]: 0; params[2]: 1; f(params): -251.86
params[0]: 4; params[1]: 0; params[2]: -2; f(params): -2780.07
params[0]: 3; params[1]: 2; params[2]: 0; f(params): -634.32
params[0]: 0; params[1]: 1; params[2]: 0.5; f(params): -24.99
params[0]: 0.5; params[1]: 0; params[2]: 0.5; f(params): -7.09
params[0]: 2; params[1]: 0; params[2]: -2; f(params): -1312.55
params[0]: -2; params[1]: -2; params[2]: 0; f(params): -55.63
params[0]: 3; params[1]: 0; params[2]: 2; f(params): -114.44
params[0]: -1; params[1]: 2; params[2]: 0; f(params): -15.91
params[0]: -2; params[1]: 0; params[2]: 0.5; f(params): -130.30
params[0]: -2; params[1]: 0; params[2]: 4; f(params): -2079.34
params[0]: 3; params[1]: 1; params[2]: 1; f(params): -188.20
params[0]: -1; params[1]: 1; params[2]: 1; f(params): -165.32
params[0]: 1; params[1]: 1; params[2]: 0; f(params): -53.60
params[0]: -2; params[1]: 0; params[2]: 2; f(params): -653.65
params[0]: -2; params[1]: 0; params[2]: 1; f(params): -247.50
params[0]: 3; params[1]: 0; params[2]: 3; f(params): -483.87
params[0]: -3; params[1]: 1; params[2]: 0.5; f(params): -214.48
params[0]: -1; params[1]: 1; params[2]: 0; f(params): -19.63


Now you are at iteration 54 out of 400. Please provide the results in the indicated format. Do not provide any additional texts.


LLM:
params[0]: 0.0; params[1]: 0.0; params[2]: 0.2  
I chose a policy that applies a small constant positive torque (bias = 0.2) regardless of state. This keeps the action magnitude low, minimizing the per‑step penalty (‑0.1·a²), while providing enough steady push to eventually reach the flag on the right. With such a gentle, consistent force the car should climb the hill in a reasonable number of steps, yielding a total reward close to the maximal 100.
