Iteration, Lambda, VLM Invoked, Phase, Num Frames
0, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
1, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
2, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
3, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
4, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
5, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
6, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
7, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
8, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
9, 1.000, False, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 0
10, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
11, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
12, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
13, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
14, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
15, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
16, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
17, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
18, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
19, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 14
20, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 19
21, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
22, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
23, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
24, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 18
25, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
26, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
27, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 18
28, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
29, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 20
30, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
31, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 11
32, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
33, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
34, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
35, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
36, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
37, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 20
38, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
39, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
40, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
41, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
42, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
43, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
44, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 14
45, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
46, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
47, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 17
48, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 20
49, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
50, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
51, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 17
52, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
53, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
54, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
55, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 14
56, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 13
57, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 14
58, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 14
59, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 13
60, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
61, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
62, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
63, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
64, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
65, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
66, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
67, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
68, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
69, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
70, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
71, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 15
72, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
73, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
74, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
75, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 20
76, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
77, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 15
78, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
79, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
