Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 6.55, 274.28, 41, 40959, -210.02
1, 11.34, 626.02, 62, 61938, -25.62
2, 16.19, 919.57, 83, 82917, -292.40
3, 21.39, 1493.63, 104, 103896, -70.73
4, 25.98, 1829.82, 125, 124875, -5119.08
5, 30.70, 1979.07, 146, 145854, -223.34
6, 35.03, 2203.38, 167, 166833, -91.88
7, 39.62, 2482.30, 188, 187812, -995.13
8, 44.52, 2680.35, 209, 208791, -2338.21
9, 48.84, 2877.50, 230, 229770, -8.32
10, 53.14, 3006.87, 251, 250749, -53.66
11, 58.02, 3306.72, 272, 271728, -770.03
12, 62.42, 3668.31, 293, 291133, -105.95
13, 65.84, 3789.74, 314, 311760, -655.90
14, 70.28, 3910.72, 335, 332739, -1486.95
15, 75.17, 4156.17, 356, 353718, -223.36
16, 79.53, 4311.15, 377, 374697, -293.52
17, 84.47, 4619.08, 398, 395676, -196.19
18, 89.42, 4845.50, 419, 416655, -272.14
19, 94.34, 5305.22, 440, 437040, 7.19
20, 98.62, 5430.23, 461, 457954, -224.76
21, 103.42, 5741.87, 482, 478865, -742.02
22, 108.02, 6120.82, 503, 499844, -301.76
23, 112.94, 6421.80, 524, 520823, -7.34
24, 114.52, 6423.84, 544, 539063, -77.12
25, 118.94, 6697.78, 565, 560042, -623.68
26, 123.20, 6982.32, 586, 581021, -1.06
27, 128.50, 7539.03, 607, 602000, -24.97
28, 133.30, 7876.29, 628, 622979, -32.40
29, 138.02, 8215.04, 649, 643958, -224.34
30, 142.38, 8380.56, 670, 664937, -71.15
31, 147.19, 8660.68, 691, 684958, 19.20
32, 148.53, 8664.41, 711, 699602, 16.90
33, 152.70, 8940.92, 732, 716838, 54.51
34, 156.88, 9175.81, 753, 737600, -137.53
35, 161.31, 9424.94, 774, 755055, 40.43
36, 164.86, 9561.49, 795, 773178, 62.22
37, 166.38, 9570.93, 815, 791221, 51.53
38, 170.41, 9689.82, 836, 807677, 46.09
39, 173.84, 9869.50, 857, 826793, 36.63
40, 178.03, 10158.69, 878, 842719, 41.47
41, 181.30, 10280.36, 899, 861262, 44.43
42, 185.08, 10513.72, 920, 878981, 49.15
43, 189.48, 10644.49, 941, 897725, 64.46
44, 191.06, 10650.92, 961, 915713, 52.19
45, 192.56, 10659.60, 981, 934589, 28.73
46, 196.62, 10770.74, 1002, 953629, 45.96
47, 200.75, 11243.12, 1023, 972134, 45.05
48, 205.20, 11380.88, 1044, 990870, 50.91
49, 208.42, 11603.67, 1065, 1009082, 54.49
50, 212.80, 12025.66, 1086, 1027207, 56.02
51, 216.75, 12226.37, 1107, 1046031, 50.10
52, 218.19, 12232.49, 1127, 1063115, 57.39
53, 219.50, 12240.02, 1147, 1079075, 75.21
54, 223.12, 12440.58, 1168, 1097895, 55.79
55, 227.27, 12621.71, 1189, 1116499, 46.29
56, 228.73, 12627.90, 1209, 1133755, 74.29
57, 233.41, 12855.25, 1230, 1154734, -7.67
58, 237.47, 13113.21, 1251, 1172950, 67.15
59, 238.92, 13130.54, 1271, 1190080, 70.28
60, 243.03, 13388.26, 1292, 1207281, 73.85
61, 244.36, 13391.28, 1312, 1222664, 66.14
62, 248.41, 13766.68, 1333, 1241320, 53.88
63, 253.09, 14079.66, 1354, 1255166, 90.25
64, 257.27, 14560.53, 1375, 1271098, 80.39
65, 261.78, 14863.51, 1396, 1288647, 55.59
66, 265.11, 15140.87, 1417, 1305281, 61.73
67, 268.66, 15313.76, 1438, 1321864, 69.25
68, 273.22, 15864.01, 1459, 1337055, 78.98
69, 276.94, 16069.81, 1480, 1352294, 70.14
70, 278.14, 16075.67, 1500, 1366114, 70.48
71, 281.58, 16193.43, 1521, 1386800, -14.59
72, 286.23, 16525.31, 1542, 1403364, 70.74
73, 288.91, 16613.32, 1563, 1419266, 80.95
74, 292.66, 16792.94, 1584, 1439942, -8.95
75, 297.09, 17037.49, 1605, 1456855, 66.03
76, 300.64, 17396.36, 1626, 1474043, 66.82
77, 301.89, 17404.86, 1646, 1488252, 90.25
78, 305.62, 17734.91, 1667, 1504227, 74.89
79, 309.14, 17859.77, 1688, 1519835, 76.28
80, 313.14, 18180.27, 1709, 1535586, 81.91
81, 316.94, 18294.35, 1730, 1551828, 80.28
82, 320.83, 18447.36, 1751, 1572585, -16.32
83, 324.92, 18534.66, 1772, 1589645, 71.75
84, 328.75, 18620.10, 1793, 1605255, 74.27
85, 331.19, 18677.11, 1814, 1619920, 86.78
86, 334.48, 18765.98, 1835, 1635784, 85.04
87, 335.73, 18770.27, 1855, 1650322, 75.63
88, 336.78, 18774.01, 1875, 1663474, 86.91
89, 340.52, 18900.02, 1896, 1679295, 81.88
90, 343.47, 18965.31, 1917, 1694867, 76.82
91, 347.52, 19107.01, 1938, 1712900, 71.02
92, 348.89, 19111.47, 1958, 1728683, 67.83
93, 352.50, 19185.21, 1979, 1747736, 51.92
94, 353.80, 19190.19, 1999, 1763221, 80.81
95, 357.28, 19263.54, 2020, 1783976, -6.16
96, 361.03, 19384.96, 2041, 1799521, 87.98
97, 362.39, 19397.94, 2061, 1815326, 72.83
98, 363.56, 19407.42, 2081, 1829555, 92.24
99, 364.72, 19418.75, 2101, 1842664, 87.32
100, 367.94, 19475.51, 2122, 1863189, -11.73
101, 371.83, 19796.66, 2143, 1877139, 97.64
102, 375.17, 19904.92, 2164, 1890568, 80.43
103, 378.64, 20031.24, 2185, 1906848, 72.55
104, 382.31, 20177.11, 2206, 1920007, 92.65
105, 386.12, 20408.63, 2227, 1933497, 92.51
106, 389.02, 20513.12, 2248, 1950222, 67.88
107, 393.73, 20825.40, 2269, 1964663, 77.67
108, 396.53, 20993.94, 2290, 1978743, 83.20
109, 397.75, 21006.00, 2310, 1992611, 66.37
110, 400.00, 21110.32, 2331, 2007357, 73.45
111, 401.06, 21115.46, 2351, 2019026, 97.57
112, 405.34, 21289.51, 2372, 2039815, -8.49
113, 406.45, 21299.14, 2392, 2052645, 92.72
114, 409.05, 21508.54, 2413, 2066732, 87.80
115, 412.70, 21653.52, 2434, 2081774, 91.60
116, 415.81, 21880.46, 2455, 2094209, 97.66
117, 418.41, 21996.41, 2476, 2107090, 97.24
118, 419.47, 22001.83, 2496, 2119966, 82.24
119, 421.09, 22009.65, 2516, 2139946, -8.85
120, 422.25, 22013.83, 2536, 2153962, 77.79
121, 424.58, 22165.24, 2557, 2166483, 90.48
122, 427.25, 22333.50, 2578, 2179742, 96.11
123, 428.34, 22342.75, 2598, 2192948, 86.30
124, 430.81, 22499.54, 2619, 2205803, 85.12
125, 434.73, 22655.67, 2640, 2221855, 81.87
126, 438.61, 22907.00, 2661, 2235101, 97.53
127, 441.48, 23009.57, 2682, 2251539, 72.85
128, 442.70, 23015.64, 2702, 2265364, 83.49
129, 443.80, 23028.19, 2722, 2278072, 86.91
130, 446.45, 23267.76, 2743, 2291349, 97.02
131, 447.62, 23278.13, 2763, 2305471, 81.18
132, 449.02, 23288.94, 2783, 2319970, 87.75
133, 451.94, 23536.87, 2804, 2335017, 87.38
134, 453.03, 23551.57, 2824, 2347888, 92.52
135, 454.02, 23560.68, 2844, 2360000, 86.29
136, 456.97, 23817.98, 2865, 2373033, 96.09
137, 457.98, 23826.83, 2885, 2385434, 91.24
138, 459.06, 23841.71, 2905, 2398546, 91.97
139, 462.11, 23944.07, 2926, 2419051, -12.40
140, 463.41, 23955.72, 2946, 2432667, 83.49
141, 464.45, 23967.12, 2966, 2444900, 94.31
142, 466.05, 23982.42, 2986, 2464880, -13.61
143, 467.06, 23992.68, 3006, 2477424, 97.45
144, 471.25, 24201.72, 3027, 2498403, -8.84
145, 476.00, 24613.46, 3048, 2512945, 92.52
146, 477.25, 24625.06, 3068, 2527613, 82.59
147, 480.81, 24796.63, 3089, 2541482, 92.87
148, 482.52, 24811.20, 3109, 2561462, -8.42
149, 483.52, 24824.81, 3129, 2573836, 88.20
150, 484.52, 24834.92, 3149, 2586211, 97.39
151, 485.73, 24848.80, 3169, 2601251, 79.16
152, 486.89, 24863.01, 3189, 2615955, 72.86
153, 489.53, 24989.82, 3210, 2630495, 77.02
154, 490.53, 24995.08, 3230, 2642676, 80.64
155, 491.59, 25005.25, 3250, 2655452, 81.89
156, 494.50, 25240.70, 3271, 2669897, 87.47
157, 495.84, 25263.97, 3291, 2682911, 87.75
158, 499.23, 25599.77, 3312, 2698089, 82.59
159, 500.39, 25606.26, 3332, 2710546, 92.75
160, 501.55, 25619.65, 3352, 2723853, 93.26
161, 502.67, 25641.03, 3372, 2737713, 67.93
162, 506.66, 26107.48, 3393, 2753205, 77.62
163, 507.89, 26117.62, 3413, 2766673, 92.74
164, 511.47, 26282.52, 3434, 2780116, 93.21
165, 512.58, 26291.98, 3454, 2793112, 88.21
166, 515.62, 26519.83, 3475, 2806324, 67.75
167, 516.92, 26544.35, 3495, 2819186, 96.54
168, 518.03, 26556.32, 3515, 2833103, 72.82
169, 519.12, 26563.56, 3535, 2846701, 87.55
170, 523.84, 26823.54, 3556, 2861047, 86.17
