Iteration, Lambda, VLM Invoked, Phase, Num Frames
0, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
1, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
2, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
3, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
4, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
5, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
6, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
7, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 7
8, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
9, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 7
10, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
11, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
12, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
13, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
14, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
15, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
16, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
17, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
18, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
19, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
20, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
21, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
22, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
23, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
24, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
25, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
26, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
27, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
28, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
29, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 7
30, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
31, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
32, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
33, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
34, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
35, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
36, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
37, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 6
38, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
39, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
40, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
41, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
42, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
43, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
44, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
45, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 18
46, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 6
47, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
48, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 10
49, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 5
50, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 7
51, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 10
52, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 5
53, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 10
54, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
55, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 15
56, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 6
57, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
58, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 5
59, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
60, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
61, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
62, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
63, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
64, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 10
65, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
66, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
67, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
68, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
69, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 15
70, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
71, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
72, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 7
73, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
74, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
75, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 6
76, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 5
77, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 11
78, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 9
79, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 9
80, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 12
81, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
82, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
83, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 6
84, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 15
85, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 9
86, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
87, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 4
88, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
89, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 10
90, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 16
91, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
92, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 21
93, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
94, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
95, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
96, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 15
97, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 8
98, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 6
99, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 6
100, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 3
101, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 2
102, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 20
