Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 5.86, 9.33, 41, 4768, -140.50
1, 6.66, 51.03, 62, 7025, -229.93
2, 6.86, 106.74, 83, 7351, -125.00
3, 7.14, 168.04, 104, 7617, -143.25
4, 7.72, 220.38, 125, 7972, -117.75
5, 10.27, 271.32, 146, 16120, 441.60
6, 14.80, 280.49, 167, 17356, -173.50
7, 17.27, 319.15, 188, 25330, 594.67
8, 22.70, 326.69, 209, 29716, 164.65
9, 24.03, 411.81, 230, 30631, -108.62
10, 27.34, 473.70, 251, 41602, 1154.22
11, 28.34, 526.22, 272, 43391, 23.40
12, 31.36, 582.87, 293, 53845, 1247.45
13, 33.06, 645.04, 314, 55650, -4.55
14, 33.95, 691.10, 335, 58122, 52.90
15, 35.95, 752.00, 356, 63453, 343.88
16, 38.28, 807.61, 377, 69878, 514.25
17, 38.66, 856.34, 398, 70545, -147.72
18, 40.52, 906.87, 419, 74704, 187.57
19, 45.23, 1066.48, 440, 86783, -255.28
20, 46.27, 1129.18, 461, 88817, 22.98
21, 48.81, 1153.58, 482, 96226, -292.45
22, 54.55, 1161.70, 503, 98935, -4.62
23, 58.09, 1232.59, 524, 108320, 326.98
