Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
1, 0.640625, 3.6665098667144775, 20, 4000, -200.0
2, 0.8125, 8.437214136123657, 40, 8000, -200.0
3, 1.0, 16.097014904022217, 60, 12000, -200.0
4, 1.171875, 21.6726016998291, 80, 16000, -200.0
5, 1.359375, 27.967161893844604, 100, 20000, -200.0
6, 1.515625, 33.712108850479126, 120, 24000, -200.0
7, 1.671875, 39.73657584190369, 140, 28000, -200.0
8, 1.828125, 44.00361442565918, 160, 32000, -200.0
9, 2.03125, 48.66959071159363, 180, 36000, -200.0
10, 2.203125, 55.85691499710083, 200, 40000, -200.0
11, 2.375, 60.99653244018555, 220, 44000, -200.0
12, 2.5, 67.85825729370117, 240, 48000, -200.0
13, 2.65625, 74.51246666908264, 260, 52000, -200.0
14, 2.8125, 77.84651160240173, 280, 56000, -200.0
15, 2.96875, 83.85479402542114, 300, 60000, -200.0
16, 3.125, 90.40407872200012, 320, 63996, -199.8
17, 3.28125, 95.05718398094177, 340, 67996, -200.0
18, 3.421875, 99.70285820960999, 360, 71996, -200.0
19, 3.578125, 104.99371862411499, 380, 75996, -200.0
20, 3.78125, 110.47583389282227, 400, 79996, -200.0
21, 3.9375, 114.70381546020508, 420, 83996, -200.0
22, 4.109375, 120.77437090873718, 440, 87996, -200.0
23, 4.28125, 126.70285129547119, 460, 91996, -200.0
24, 4.46875, 131.65176820755005, 480, 95996, -200.0
25, 4.609375, 135.67861652374268, 500, 99996, -200.0
26, 4.75, 143.42977643013, 520, 103996, -200.0
27, 4.921875, 148.33017301559448, 540, 107996, -200.0
28, 5.0625, 152.6867561340332, 560, 111996, -200.0
29, 5.21875, 160.65462160110474, 580, 115996, -200.0
30, 5.375, 167.48178482055664, 600, 119996, -200.0
31, 5.546875, 172.51953864097595, 620, 123996, -200.0
32, 5.703125, 177.6863751411438, 640, 127996, -200.0
33, 5.890625, 184.63459873199463, 660, 131996, -200.0
34, 6.046875, 189.3294861316681, 680, 135996, -200.0
35, 6.203125, 193.54720401763916, 700, 139996, -200.0
36, 6.359375, 199.00158071517944, 720, 143996, -200.0
37, 6.484375, 204.4852592945099, 740, 147996, -200.0
38, 6.640625, 209.02356100082397, 760, 151996, -200.0
39, 6.828125, 215.3710482120514, 780, 155996, -200.0
40, 6.96875, 221.2970654964447, 800, 159996, -200.0
41, 7.125, 228.03144574165344, 820, 163996, -200.0
42, 7.265625, 234.38880395889282, 840, 167996, -200.0
43, 7.40625, 241.7455129623413, 860, 171996, -200.0
44, 7.578125, 246.1389696598053, 880, 175996, -200.0
45, 7.71875, 251.60085654258728, 900, 179996, -200.0
46, 7.859375, 257.3402376174927, 920, 183996, -200.0
47, 8.0, 264.2660303115845, 940, 187996, -200.0
48, 8.15625, 269.2216820716858, 960, 191996, -200.0
49, 8.328125, 278.22262144088745, 980, 195996, -200.0
50, 8.484375, 287.06374764442444, 1000, 199996, -200.0
51, 8.640625, 293.2896797657013, 1020, 203996, -200.0
52, 8.796875, 299.0460615158081, 1040, 207996, -200.0
53, 8.9375, 304.2205467224121, 1060, 211996, -200.0
54, 9.078125, 313.61989855766296, 1080, 215996, -200.0
55, 9.234375, 322.28144121170044, 1100, 219996, -200.0
56, 9.390625, 329.916880607605, 1120, 223996, -200.0
57, 9.546875, 334.84642934799194, 1140, 227996, -200.0
58, 9.703125, 341.138712644577, 1160, 231996, -200.0
59, 9.890625, 347.11971139907837, 1180, 235996, -200.0
60, 10.078125, 353.8776352405548, 1200, 239996, -200.0
61, 10.234375, 361.7882695198059, 1220, 243996, -200.0
62, 10.390625, 368.13685846328735, 1240, 247996, -200.0
63, 10.546875, 375.41028928756714, 1260, 251996, -200.0
64, 10.71875, 382.1012463569641, 1280, 255996, -200.0
65, 10.859375, 390.7937533855438, 1300, 259996, -200.0
66, 11.03125, 397.00921392440796, 1320, 263996, -200.0
67, 11.1875, 403.4457597732544, 1340, 267996, -200.0
68, 11.328125, 409.3287184238434, 1360, 271996, -200.0
69, 11.5, 417.4475190639496, 1380, 275996, -200.0
70, 11.640625, 421.6752960681915, 1400, 279996, -200.0
71, 11.8125, 428.965211391449, 1420, 283996, -200.0
72, 11.953125, 435.6363248825073, 1440, 287996, -200.0
73, 12.140625, 440.45019340515137, 1460, 291996, -200.0
74, 12.28125, 449.246529340744, 1480, 295996, -200.0
75, 12.453125, 461.8534653186798, 1500, 299996, -200.0
76, 12.625, 469.96817111968994, 1520, 303996, -200.0
77, 12.78125, 480.37033247947693, 1540, 307996, -200.0
78, 12.953125, 488.74370861053467, 1560, 311996, -200.0
79, 13.125, 496.81482195854187, 1580, 315996, -200.0
80, 13.28125, 504.32916045188904, 1600, 319996, -200.0
81, 13.453125, 511.3085403442383, 1620, 323996, -200.0
82, 13.609375, 518.5062346458435, 1640, 327996, -200.0
83, 13.75, 526.6654312610626, 1660, 331996, -200.0
84, 13.921875, 533.699453830719, 1680, 335996, -200.0
85, 14.078125, 539.082729101181, 1700, 339996, -200.0
86, 14.234375, 547.3448169231415, 1720, 343996, -200.0
87, 14.40625, 554.1037120819092, 1740, 347996, -200.0
88, 14.5625, 560.9054853916168, 1760, 351996, -200.0
89, 14.71875, 570.6101772785187, 1780, 355996, -200.0
90, 14.890625, 580.3904809951782, 1800, 359996, -200.0
91, 15.0625, 585.6027963161469, 1820, 363996, -200.0
92, 15.21875, 594.2995665073395, 1840, 367996, -200.0
93, 15.375, 603.6822125911713, 1860, 371996, -200.0
94, 15.53125, 611.7144694328308, 1880, 375996, -200.0
95, 15.703125, 616.7928693294525, 1900, 379996, -200.0
96, 15.859375, 624.598025560379, 1920, 383996, -200.0
97, 16.015625, 630.6510066986084, 1940, 387996, -200.0
98, 16.1875, 633.5936105251312, 1960, 391996, -200.0
99, 16.34375, 641.0904202461243, 1980, 395996, -200.0
100, 16.5, 647.200766324997, 2000, 399996, -200.0
