Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 141.81, 12.61, 41, 1283, 68.26
1, 211.59, 23.10, 62, 2439, 61.36
2, 280.34, 37.38, 83, 3602, 64.54
3, 356.34, 48.99, 104, 4757, 60.76
4, 427.98, 61.55, 125, 5913, 61.29
5, 501.34, 75.69, 146, 7076, 64.62
6, 571.23, 91.67, 167, 8239, 64.52
7, 640.89, 106.50, 188, 9404, 65.48
8, 707.97, 119.04, 209, 10560, 61.30
9, 783.20, 135.51, 230, 11719, 62.76
10, 863.69, 147.85, 251, 12881, 64.06
11, 940.22, 163.83, 272, 14038, 61.78
12, 1022.03, 177.29, 293, 15200, 64.05
