Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 14.25, 106.41, 52, 34658, 434.70
1, 26.78, 214.50, 84, 64601, 218.07
2, 39.52, 328.01, 116, 95583, 637.67
3, 51.83, 432.42, 148, 125671, 67.40
4, 64.30, 540.93, 180, 155797, 927.48
5, 76.17, 649.83, 212, 184377, 471.73
6, 87.95, 751.84, 244, 212042, 269.77
7, 99.92, 868.21, 276, 240276, 795.88
8, 112.45, 977.57, 308, 270953, 356.82
9, 124.67, 1088.58, 340, 300708, 796.98
10, 136.88, 1206.47, 372, 330429, 989.77
11, 149.50, 1320.44, 404, 361221, 563.70
12, 161.55, 1417.36, 436, 390355, 663.17
13, 174.08, 1523.86, 468, 419163, 531.55
14, 187.16, 1623.30, 500, 451163, 1418.12
15, 199.62, 1729.64, 532, 481235, 651.35
16, 211.97, 1841.77, 564, 510625, 368.98
17, 224.88, 1943.14, 596, 540525, 452.07
18, 237.81, 2048.91, 628, 572475, 444.43
19, 250.08, 2160.56, 660, 602188, 522.75
20, 260.50, 2265.47, 692, 625394, 768.70
21, 273.09, 2375.85, 724, 655495, 509.82
22, 285.95, 2481.75, 756, 687495, 1170.90
23, 298.77, 2581.23, 788, 719495, 1013.60
24, 311.78, 2684.18, 820, 750907, 1346.40
25, 324.47, 2794.06, 852, 781938, 279.57
26, 336.58, 2896.75, 884, 810369, 531.55
27, 349.06, 2996.21, 916, 841401, 186.88
28, 361.42, 3143.49, 948, 871508, 671.10
29, 373.41, 3258.28, 980, 900519, 64.20
30, 385.69, 3366.37, 1012, 929960, 789.27
31, 398.27, 3469.86, 1044, 958235, 1158.72
32, 410.78, 3579.36, 1076, 987102, 102.45
33, 423.27, 3724.20, 1108, 1017830, 498.48
34, 435.53, 3832.14, 1140, 1047331, 751.27
35, 448.17, 3933.13, 1172, 1077831, 530.02
36, 460.52, 4042.37, 1204, 1108363, 1107.28
37, 473.00, 4141.62, 1236, 1138413, 493.50
38, 485.89, 4252.38, 1268, 1170413, 1301.25
39, 498.52, 4363.07, 1300, 1200628, 1318.22
40, 511.05, 4463.65, 1332, 1230919, 59.02
41, 523.84, 4564.14, 1364, 1261388, 616.33
42, 536.42, 4667.92, 1396, 1292430, 998.98
43, 548.92, 4772.39, 1428, 1323280, 578.00
44, 561.28, 4876.49, 1460, 1353366, 572.08
45, 573.27, 4980.69, 1492, 1381535, 469.43
46, 585.88, 5088.67, 1524, 1412188, 947.30
47, 598.39, 5220.09, 1556, 1442570, 653.70
48, 610.33, 5320.57, 1588, 1470986, 624.12
49, 622.42, 5426.19, 1620, 1499826, 1276.75
50, 634.05, 5531.90, 1652, 1526657, 1823.67
51, 645.58, 5642.48, 1684, 1552967, 1250.33
52, 658.33, 5740.97, 1716, 1583884, 961.60
53, 670.80, 5841.96, 1748, 1614201, 259.95
54, 683.28, 5957.53, 1780, 1644743, 504.02
55, 695.50, 6068.70, 1812, 1672926, 385.20
56, 706.72, 6183.19, 1844, 1697846, 236.03
57, 718.95, 6297.93, 1876, 1727110, 745.45
58, 730.28, 6403.47, 1908, 1753482, 870.05
59, 742.27, 6506.21, 1940, 1782616, -66.40
60, 753.30, 6609.51, 1972, 1808194, 378.73
61, 765.31, 6728.61, 2004, 1834323, -244.65
62, 775.05, 6834.01, 2036, 1854851, -133.47
63, 787.52, 6933.38, 2068, 1884157, 1064.50
64, 799.67, 7050.85, 2100, 1914212, 1264.47
65, 812.33, 7156.96, 2132, 1944925, 1670.08
66, 824.33, 7268.89, 2164, 1973962, 787.35
67, 836.42, 7380.43, 2196, 2003062, 885.95
68, 848.02, 7489.30, 2228, 2030662, 848.50
69, 858.25, 7598.02, 2260, 2052069, 848.45
70, 870.20, 7713.32, 2292, 2081129, 799.50
71, 883.17, 7820.31, 2324, 2112198, 1452.05
72, 896.03, 7917.55, 2356, 2143241, 683.80
73, 909.19, 8036.26, 2388, 2175241, 783.70
74, 919.39, 8137.99, 2420, 2197519, 1032.53
75, 930.00, 8258.26, 2452, 2219907, 881.05
76, 942.39, 8362.88, 2484, 2249935, 129.32
77, 954.64, 8460.36, 2516, 2279662, 1070.47
78, 966.94, 8571.70, 2548, 2308905, 1699.88
79, 977.11, 8679.63, 2580, 2329801, 944.20
80, 988.17, 8793.64, 2612, 2354002, 1688.65
81, 1000.31, 8910.18, 2644, 2382520, 1824.47
82, 1010.11, 9036.95, 2676, 2402046, 923.30
83, 1022.06, 9155.57, 2708, 2430863, 439.95
84, 1034.00, 9263.87, 2740, 2458399, 409.55
85, 1046.00, 9373.42, 2772, 2487300, 1779.10
86, 1058.45, 9484.65, 2804, 2516257, 632.60
87, 1070.55, 9614.22, 2836, 2544832, 664.62
88, 1082.72, 9722.11, 2868, 2573496, 372.07
89, 1095.69, 9841.87, 2900, 2603917, 1300.08
90, 1104.95, 9953.64, 2932, 2621559, 304.62
91, 1116.81, 10068.36, 2964, 2648795, 163.50
92, 1128.75, 10192.67, 2996, 2677244, 573.80
93, 1140.66, 10315.87, 3028, 2704587, 918.45
94, 1152.19, 10430.98, 3060, 2730706, 1590.20
95, 1164.48, 10541.13, 3092, 2760140, 1907.20
96, 1176.72, 10664.38, 3124, 2789685, 1099.97
97, 1187.67, 10789.60, 3156, 2814668, 1168.28
98, 1200.12, 10897.28, 3188, 2844443, 1420.72
99, 1212.31, 11081.29, 3220, 2873335, 942.15
100, 1225.08, 11194.33, 3252, 2902666, 1442.55
101, 1237.23, 11313.42, 3284, 2931062, 1034.30
102, 1249.75, 11455.60, 3316, 2960855, 380.23
103, 1261.55, 11569.67, 3348, 2987801, 1667.42
104, 1272.88, 11691.29, 3380, 3014492, 1745.97
105, 1284.73, 11802.07, 3412, 3042966, 1751.95
106, 1293.84, 11914.94, 3444, 3060014, 390.35
107, 1306.31, 12029.29, 3476, 3090235, 629.88
108, 1318.00, 12141.78, 3508, 3117618, -81.90
109, 1329.34, 12264.83, 3540, 3143716, 1163.42
110, 1341.38, 12383.37, 3572, 3172514, 782.60
111, 1352.83, 12492.91, 3604, 3199502, 1559.33
112, 1365.06, 12616.55, 3636, 3228688, 657.95
113, 1377.70, 12735.55, 3668, 3260229, 701.60
114, 1389.56, 12852.49, 3700, 3287793, 947.77
115, 1402.27, 12967.14, 3732, 3319323, 501.40
116, 1415.19, 13080.14, 3764, 3351184, 494.23
117, 1428.14, 13192.70, 3796, 3382576, 828.80
118, 1441.00, 13298.00, 3828, 3414576, 1186.30
119, 1453.84, 13411.98, 3860, 3445678, 1425.30
120, 1466.23, 13527.90, 3892, 3475445, 1179.47
121, 1479.22, 13656.94, 3924, 3507095, 495.10
122, 1492.12, 13765.22, 3956, 3539095, 891.77
123, 1505.19, 13879.64, 3988, 3571095, 654.73
124, 1513.86, 13999.93, 4020, 3586461, -35.33
125, 1525.55, 14127.59, 4052, 3613679, 143.80
126, 1538.34, 14242.19, 4084, 3644729, 136.38
127, 1551.38, 14355.48, 4116, 3675758, 431.98
128, 1564.08, 14464.53, 4148, 3706236, 585.65
129, 1576.91, 14566.65, 4180, 3736788, 1335.10
130, 1589.36, 14675.95, 4212, 3767381, 514.50
131, 1601.34, 14792.55, 4244, 3795393, 1061.42
132, 1614.38, 14899.30, 4276, 3827393, 975.92
133, 1627.27, 15021.69, 4308, 3859393, 616.23
134, 1639.48, 15134.80, 4340, 3888672, 31.73
135, 1652.52, 15252.30, 4372, 3920260, 100.50
136, 1665.30, 15368.92, 4404, 3951291, -103.50
137, 1678.03, 15490.06, 4436, 3982569, 1490.75
138, 1690.56, 15604.57, 4468, 4012478, 844.20
139, 1702.92, 15723.09, 4500, 4041164, 457.60
140, 1714.84, 15832.86, 4532, 4069419, -114.62
141, 1726.31, 15974.25, 4564, 4096177, 431.32
