Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 31.42, 252.28, 58, 58000, 66.97
1, 58.53, 483.02, 96, 96000, 37.34
2, 84.50, 718.90, 134, 134000, 81.19
3, 110.84, 934.39, 172, 172000, 103.17
4, 138.70, 1189.85, 210, 210000, 10.40
5, 164.81, 1421.96, 248, 248000, 91.17
6, 192.84, 1660.66, 286, 286000, 94.66
7, 219.22, 1882.17, 324, 324000, 70.45
8, 247.02, 2101.01, 362, 362000, 115.65
9, 277.28, 2338.90, 400, 400000, 217.20
10, 306.62, 2572.88, 438, 438000, 201.25
11, 342.66, 2828.65, 476, 476000, 229.78
12, 376.88, 3046.38, 514, 514000, 250.01
13, 406.95, 3272.94, 552, 552000, 229.36
14, 444.89, 3514.77, 590, 590000, 257.40
15, 471.11, 3746.82, 628, 628000, 268.20
16, 500.30, 3967.91, 666, 666000, 246.77
17, 528.84, 4199.37, 704, 704000, 255.78
18, 555.12, 4440.39, 742, 742000, 265.09
19, 586.67, 4680.57, 780, 780000, 250.25
20, 615.98, 4900.11, 818, 818000, 252.22
21, 654.89, 5147.21, 856, 856000, 265.79
22, 682.78, 5385.17, 894, 894000, 257.87
23, 712.92, 5611.53, 932, 932000, 256.12
24, 742.30, 5870.25, 970, 970000, 268.99
25, 776.38, 6102.62, 1008, 1008000, 264.19
26, 812.94, 6359.05, 1046, 1046000, 268.93
27, 844.09, 6586.12, 1084, 1084000, 255.16
28, 880.27, 6821.83, 1122, 1122000, 205.34
29, 913.08, 7071.00, 1160, 1160000, 267.45
30, 946.08, 7323.00, 1198, 1198000, 258.56
31, 982.14, 7553.74, 1236, 1236000, 249.67
32, 1012.14, 7785.18, 1274, 1274000, 171.16
33, 1045.12, 8025.98, 1312, 1312000, 282.21
34, 1076.44, 8263.26, 1350, 1350000, 277.04
35, 1112.30, 8506.66, 1388, 1388000, 279.78
36, 1140.77, 8747.96, 1426, 1426000, 266.95
37, 1173.70, 8978.56, 1464, 1464000, 256.24
38, 1209.31, 9221.30, 1502, 1502000, 285.54
39, 1242.55, 9453.64, 1540, 1540000, 237.89
40, 1272.66, 9693.37, 1578, 1578000, 270.55
41, 1303.52, 9930.81, 1616, 1616000, 271.66
42, 1330.09, 10149.10, 1654, 1654000, 286.35
43, 1364.56, 10410.08, 1692, 1692000, 272.33
44, 1399.45, 10634.27, 1730, 1730000, 278.68
45, 1429.84, 10901.54, 1768, 1768000, 272.95
46, 1464.72, 11168.48, 1806, 1806000, 277.06
47, 1492.09, 11421.61, 1844, 1844000, 273.28
48, 1527.83, 11684.10, 1882, 1882000, 268.54
49, 1559.91, 11948.24, 1920, 1920000, 270.46
50, 1591.44, 12200.35, 1958, 1958000, 281.40
51, 1626.48, 12464.39, 1996, 1996000, 275.59
52, 1658.92, 12698.28, 2034, 2034000, 272.13
53, 1693.34, 12928.00, 2072, 2072000, 266.70
54, 1723.45, 13156.96, 2110, 2110000, 271.86
55, 1763.28, 13394.14, 2148, 2148000, 275.97
56, 1791.72, 13644.71, 2186, 2186000, 260.03
57, 1823.00, 13894.80, 2224, 2224000, 281.46
58, 1861.03, 14147.17, 2262, 2262000, 268.16
59, 1889.02, 14465.59, 2300, 2300000, 252.43
60, 1921.69, 15165.75, 2338, 2338000, 268.62
61, 1957.25, 15429.72, 2376, 2376000, 268.70
62, 1985.64, 15801.02, 2414, 2414000, 262.08
63, 2016.81, 16099.67, 2452, 2452000, 271.55
64, 2044.58, 16450.18, 2490, 2490000, 265.04
65, 2076.69, 16762.87, 2528, 2528000, 258.93
66, 2105.55, 17053.31, 2566, 2566000, 279.13
67, 2138.19, 17337.87, 2604, 2604000, 284.92
68, 2174.78, 17589.20, 2642, 2642000, 261.61
69, 2203.00, 17879.10, 2680, 2680000, 271.27
70, 2240.19, 18187.40, 2718, 2718000, 259.36
71, 2267.20, 18447.99, 2756, 2756000, 282.18
72, 2300.62, 18737.57, 2794, 2794000, 266.05
73, 2332.89, 18997.50, 2832, 2832000, 264.41
74, 2363.08, 19236.26, 2870, 2870000, 266.89
75, 2397.78, 19497.56, 2908, 2908000, 270.20
76, 2423.88, 19744.93, 2946, 2946000, 267.53
77, 2458.30, 19966.71, 2984, 2984000, 266.05
78, 2495.55, 20192.56, 3022, 3022000, 267.89
79, 2522.38, 20423.77, 3060, 3060000, 270.57
80, 2557.11, 20657.71, 3098, 3098000, 265.32
81, 2592.30, 20893.40, 3136, 3136000, 272.16
82, 2626.27, 21128.80, 3174, 3174000, 279.28
83, 2659.94, 21409.42, 3212, 3212000, 271.92
84, 2687.16, 21660.54, 3250, 3250000, 265.50
85, 2718.52, 21949.31, 3288, 3288000, 273.21
86, 2748.67, 22194.90, 3326, 3326000, 266.68
87, 2782.11, 22426.33, 3364, 3364000, 268.61
88, 2818.11, 22658.04, 3402, 3402000, 265.82
89, 2851.28, 22888.79, 3440, 3440000, 257.46
90, 2885.70, 23139.11, 3478, 3478000, 268.60
91, 2916.34, 23383.72, 3516, 3516000, 271.64
92, 2948.27, 23631.15, 3554, 3554000, 276.08
93, 2979.05, 23877.75, 3592, 3592000, 275.78
94, 3014.39, 24142.41, 3630, 3630000, 273.55
95, 3049.77, 24405.58, 3668, 3668000, -47.02
96, 3084.14, 24620.68, 3706, 3706000, 269.99
97, 3122.55, 24861.19, 3744, 3744000, 268.49
98, 3154.47, 25096.20, 3782, 3782000, 257.12
99, 3189.98, 25337.57, 3820, 3820000, 271.22
100, 3218.62, 25579.36, 3858, 3858000, 266.56
101, 3252.75, 25817.36, 3896, 3896000, 265.73
102, 3286.75, 26057.13, 3934, 3934000, 270.23
103, 3320.17, 26304.35, 3972, 3972000, 264.18
104, 3354.11, 26529.73, 4010, 4010000, 271.50
105, 3383.23, 26769.57, 4048, 4048000, 264.24
106, 3416.39, 27038.85, 4086, 4086000, 279.42
107, 3452.84, 27292.88, 4124, 4124000, 274.08
108, 3478.02, 27541.00, 4162, 4162000, 268.23
109, 3516.48, 27796.41, 4200, 4200000, 264.66
110, 3544.09, 28056.38, 4238, 4238000, 264.84
111, 3577.98, 28325.50, 4276, 4276000, 263.40
112, 3606.56, 28575.23, 4314, 4314000, 283.84
113, 3640.44, 28800.50, 4352, 4352000, 276.52
114, 3673.17, 29044.01, 4390, 4390000, 285.30
115, 3702.38, 29274.20, 4428, 4428000, 288.71
116, 3737.09, 29511.60, 4466, 4466000, 282.97
117, 3765.02, 29777.32, 4504, 4504000, 280.04
118, 3799.67, 30027.38, 4542, 4542000, 285.59
119, 3828.11, 30235.28, 4580, 4580000, 292.22
120, 3864.41, 30503.82, 4618, 4618000, 282.40
121, 3897.86, 30743.93, 4656, 4656000, 280.39
122, 3933.56, 30987.92, 4694, 4694000, 290.89
123, 3963.44, 31227.98, 4732, 4732000, 254.04
124, 4009.75, 31546.31, 4770, 4770000, 271.32
125, 4054.66, 31826.02, 4808, 4808000, 290.44
126, 4098.14, 32085.84, 4846, 4846000, 291.76
127, 4145.06, 32326.42, 4884, 4884000, 287.45
128, 4188.14, 32566.30, 4922, 4922000, 289.33
129, 4237.66, 32796.61, 4960, 4960000, 294.35
130, 4286.41, 33044.25, 4998, 4998000, 282.40
131, 4330.73, 33305.80, 5036, 5036000, 290.86
132, 4376.33, 33564.76, 5074, 5074000, 280.98
133, 4422.52, 33820.30, 5112, 5112000, 298.49
134, 4466.23, 34116.36, 5150, 5150000, 239.80
135, 4513.06, 34369.99, 5188, 5188000, 287.81
136, 4561.42, 34619.89, 5226, 5226000, 297.95
137, 4605.09, 34887.26, 5264, 5264000, 289.35
138, 4653.33, 35127.39, 5302, 5302000, 280.76
139, 4699.73, 35396.96, 5340, 5340000, 293.15
140, 4742.48, 35676.62, 5378, 5378000, 266.59
141, 4788.91, 35912.70, 5416, 5416000, 267.16
142, 4836.86, 36147.48, 5454, 5454000, 234.65
143, 4881.61, 36397.87, 5492, 5492000, 291.95
144, 4922.23, 36630.17, 5530, 5530000, 276.81
145, 4968.72, 36887.29, 5568, 5568000, 277.36
146, 5015.86, 37135.16, 5606, 5606000, 275.57
147, 5057.61, 37390.36, 5644, 5644000, 301.22
148, 5101.52, 37621.33, 5682, 5682000, 268.60
149, 5140.27, 37890.80, 5720, 5720000, 270.20
150, 5169.31, 38143.66, 5758, 5758000, 280.67
151, 5205.70, 38373.06, 5796, 5796000, 299.36
152, 5242.00, 38619.90, 5834, 5834000, 305.18
153, 5277.69, 38863.55, 5872, 5872000, 277.38
154, 5313.22, 39108.66, 5910, 5910000, 288.65
155, 5345.11, 39370.35, 5948, 5948000, 257.52
156, 5373.19, 39609.02, 5986, 5986000, 261.00
157, 5410.86, 39845.56, 6024, 6024000, 270.75
158, 5461.56, 40104.28, 6062, 6062000, 292.00
159, 5511.61, 40358.37, 6100, 6100000, 223.60
160, 5556.67, 40632.77, 6138, 6138000, 198.90
161, 5601.64, 40885.73, 6176, 6176000, 273.92
162, 5643.73, 41155.76, 6214, 6214000, 285.97
163, 5681.39, 41415.59, 6252, 6252000, 284.92
164, 5718.27, 41732.64, 6290, 6290000, 284.52
165, 5745.45, 41970.45, 6328, 6328000, 235.50
166, 5786.14, 42225.27, 6366, 6366000, 276.64
167, 5831.59, 42476.99, 6404, 6404000, 262.97
168, 5869.66, 42697.94, 6442, 6442000, 295.47
169, 5911.47, 42933.23, 6480, 6480000, 287.21
170, 5950.27, 43169.53, 6518, 6518000, 281.65
171, 5985.53, 43423.26, 6556, 6556000, 295.25
172, 6020.48, 43667.33, 6594, 6594000, 226.70
173, 6054.02, 43923.21, 6632, 6632000, 285.08
174, 6096.05, 44176.26, 6670, 6670000, 98.12
175, 6148.56, 44448.94, 6708, 6708000, 270.16
176, 6199.16, 44710.32, 6746, 6746000, 278.46
177, 6239.48, 44960.43, 6784, 6784000, 271.58
178, 6272.12, 45214.05, 6822, 6822000, 262.46
179, 6316.80, 45459.83, 6860, 6860000, 288.00
180, 6348.84, 45698.58, 6898, 6898000, 305.83
181, 6384.39, 45937.75, 6936, 6936000, 287.39
182, 6423.30, 46182.55, 6974, 6974000, 295.06
183, 6455.00, 46442.74, 7012, 7012000, 296.10
184, 6495.28, 46685.89, 7050, 7050000, 246.63
185, 6527.20, 46915.98, 7088, 7088000, 287.08
186, 6566.67, 47176.62, 7126, 7126000, 278.64
187, 6599.70, 47417.21, 7164, 7164000, 268.13
188, 6641.42, 47676.64, 7202, 7202000, 286.16
189, 6675.59, 47934.74, 7240, 7240000, 303.16
190, 6709.28, 48175.45, 7278, 7278000, 277.21
191, 6746.44, 48455.54, 7316, 7316000, 242.55
192, 6779.12, 48710.06, 7354, 7354000, 261.90
193, 6818.53, 48977.56, 7392, 7392000, 296.93
194, 6857.39, 49272.27, 7430, 7430000, 275.95
195, 6907.69, 49509.45, 7468, 7468000, 250.81
196, 6956.98, 49755.12, 7506, 7506000, 288.63
197, 7000.61, 50025.42, 7544, 7544000, 270.81
198, 7035.84, 50264.21, 7582, 7582000, 262.21
199, 7092.98, 50602.83, 7620, 7620000, 292.99
200, 7125.73, 50859.98, 7658, 7658000, 286.91
201, 7161.52, 51130.70, 7696, 7696000, 286.48
202, 7199.16, 51402.53, 7734, 7734000, 284.07
203, 7234.12, 51648.19, 7772, 7772000, 92.58
204, 7272.16, 51884.86, 7810, 7810000, 228.72
205, 7324.52, 52124.49, 7848, 7848000, 271.76
206, 7373.30, 52403.76, 7886, 7886000, 266.39
207, 7437.08, 52687.90, 7924, 7924000, 280.09
208, 7501.22, 52950.03, 7962, 7962000, 290.37
209, 7554.92, 53208.54, 8000, 8000000, 297.33
210, 7595.42, 53473.03, 8038, 8038000, 305.19
211, 7630.25, 53719.48, 8076, 8076000, 239.67
212, 7671.78, 53996.88, 8114, 8114000, 276.64
213, 7706.89, 54264.43, 8152, 8152000, 303.15
214, 7746.31, 54545.25, 8190, 8190000, 288.26
215, 7782.70, 54818.20, 8228, 8228000, 302.96
216, 7817.92, 55093.08, 8266, 8266000, 305.88
217, 7858.75, 55380.94, 8304, 8304000, 290.24
218, 7895.38, 55630.64, 8342, 8342000, 284.41
219, 7937.34, 55884.00, 8380, 8380000, 278.17
220, 7986.34, 56196.54, 8418, 8418000, 307.45
221, 8034.95, 56442.99, 8456, 8456000, 283.85
222, 8084.09, 56680.16, 8494, 8494000, 304.17
