Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
1, 0.328125, 15.653293132781982, 40, 187, 25.233388421247902
2, 0.40625, 51.88582491874695, 60, 267, 25.681005974145585
3, 0.484375, 87.31868505477905, 80, 399, 49.98138624788949
4, 0.578125, 111.49346852302551, 100, 560, 63.092344646845945
5, 0.671875, 151.213143825531, 120, 713, 59.820420529112525
6, 0.765625, 176.23940634727478, 140, 891, 71.5000372243073
7, 0.84375, 218.00650763511658, 160, 1055, 64.90013983101088
8, 0.921875, 235.4490294456482, 180, 1224, 67.41244783783327
9, 1.0, 263.0674867630005, 200, 1304, 25.672298330115588
10, 1.078125, 288.7001314163208, 220, 1481, 71.2378452237916
11, 1.15625, 313.7755205631256, 240, 1659, 71.51365960028252
12, 1.25, 329.4224102497101, 260, 1825, 66.09503040920481
13, 1.328125, 345.61223435401917, 280, 1995, 67.86866377823722
14, 1.421875, 390.70860862731934, 300, 2210, 88.82651078465753
15, 1.515625, 405.7146236896515, 320, 2434, 92.98736948036762
16, 1.609375, 426.3012363910675, 340, 2640, 84.65981729069064
17, 1.703125, 444.3948178291321, 360, 2860, 91.14531663084445
18, 1.796875, 469.5010676383972, 380, 3086, 94.01177310488978
19, 1.875, 486.22877526283264, 400, 3302, 89.29113887424926
20, 1.96875, 524.1105332374573, 420, 3505, 83.15756509236034
21, 2.09375, 542.1101741790771, 440, 3735, 95.92329655094855
22, 2.1875, 573.6584732532501, 460, 3942, 85.10815847426343
23, 2.296875, 591.9260618686676, 480, 4151, 85.95441338504915
24, 2.375, 611.1683366298676, 500, 4356, 84.21025551556588
25, 2.46875, 647.3430714607239, 520, 4582, 93.76560807376678
26, 2.5625, 671.1197679042816, 540, 4805, 92.46034558158406
27, 2.65625, 688.4961833953857, 560, 5027, 92.0240231351303
28, 2.75, 722.5406336784363, 580, 5242, 88.81804717601744
29, 2.875, 749.9821293354034, 600, 5456, 88.27215001498953
30, 2.96875, 788.7436256408691, 620, 5674, 90.21592313667958
31, 3.046875, 816.086359500885, 640, 5881, 85.01156561563005
32, 3.140625, 851.8963828086853, 660, 6094, 87.9229612971748
33, 3.234375, 878.4252505302429, 680, 6314, 91.1975513720271
34, 3.328125, 901.0879619121552, 700, 6529, 88.77458669592929
35, 3.421875, 928.4912488460541, 720, 6753, 92.92154938860149
36, 3.515625, 959.4050416946411, 740, 6960, 84.98034257641889
37, 3.59375, 983.0923948287964, 760, 7165, 84.19885467091729
38, 3.6875, 1001.799797296524, 780, 7369, 83.6957529743443
39, 3.796875, 1019.2569305896759, 800, 7583, 88.33697391778864
40, 3.890625, 1053.3028011322021, 820, 7799, 89.25853507975712
41, 4.0, 1084.7125465869904, 840, 8011, 87.41919981605781
42, 4.09375, 1108.5635919570923, 860, 8226, 88.93608908298975
43, 4.203125, 1164.0375986099243, 880, 8441, 88.7902982112926
44, 4.296875, 1189.3115985393524, 900, 8654, 87.86303291697143
45, 4.390625, 1229.081062555313, 920, 8864, 86.43796714559377
46, 4.484375, 1251.8987593650818, 940, 9060, 79.84629167681139
47, 4.578125, 1278.484535932541, 960, 9262, 82.75345813588191
48, 4.671875, 1306.9834682941437, 980, 9472, 86.51708537523497
49, 4.765625, 1332.3804488182068, 1000, 9693, 91.53725450959284
50, 4.859375, 1349.8608419895172, 1020, 9903, 86.4525325967808
51, 4.953125, 1388.6034557819366, 1040, 10123, 91.07825748652229
52, 5.046875, 1410.5874881744385, 1060, 10331, 85.56133546379627
53, 5.140625, 1441.0768873691559, 1080, 10549, 90.18364676697243
54, 5.21875, 1500.366972208023, 1100, 10691, 54.64216762255212
55, 5.3125, 1527.2312083244324, 1120, 10910, 90.60389011082518
56, 5.40625, 1558.0207574367523, 1140, 11126, 89.18634401285924
57, 5.5, 1592.232242822647, 1160, 11339, 87.78250181571785
58, 5.59375, 1649.7191774845123, 1180, 11581, 101.27528423770993
59, 5.703125, 1673.7758419513702, 1200, 11803, 92.03868691313534
60, 5.78125, 1696.6409981250763, 1220, 12029, 93.92275546628973
61, 5.859375, 1732.1624341011047, 1240, 12211, 73.34667311114733
62, 5.953125, 1753.538581609726, 1260, 12429, 90.2201078736595
63, 6.046875, 1802.21879529953, 1280, 12617, 76.24595985414756
64, 6.109375, 1835.8105192184448, 1300, 12798, 73.13604406610143
65, 6.21875, 1875.5339949131012, 1320, 13013, 88.86773421687766
66, 6.3125, 1894.3078858852386, 1340, 13223, 86.28918971128778
67, 6.40625, 1919.8580713272095, 1360, 13441, 90.02048291256365
68, 6.484375, 1941.8980553150177, 1380, 13656, 88.87027747379358
69, 6.59375, 1971.387985944748, 1400, 13867, 86.93102148743638
70, 6.6875, 1983.5175340175629, 1420, 14088, 91.59474971481976
71, 6.78125, 2008.6540501117706, 1440, 14295, 85.07567270291905
72, 6.890625, 2038.9356093406677, 1460, 14507, 87.37161460309684
73, 7.0, 2059.980069875717, 1480, 14719, 87.45902497705079
74, 7.09375, 2084.7093002796173, 1500, 14903, 74.3398001297295
75, 7.1875, 2102.810046672821, 1520, 15122, 90.68079976544708
76, 7.296875, 2125.1335241794586, 1540, 15358, 98.62674748068189
77, 7.375, 2148.7492542266846, 1560, 15573, 88.7781964085672
78, 7.484375, 2171.636004447937, 1580, 15763, 77.04323451026977
