Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
1, 0.09375, 1.901376485824585, 40, 942, 8.95
2, 0.15625, 3.17734956741333, 60, 2517, 78.75
3, 0.46875, 8.598137855529785, 80, 12147, 481.5
4, 0.75, 10.287018775939941, 100, 21897, 487.5
5, 1.046875, 12.50824236869812, 120, 31825, 496.4
6, 1.34375, 14.145255327224731, 140, 41810, 499.25
7, 1.640625, 16.787575244903564, 160, 51810, 500.0
8, 1.90625, 19.544088125228882, 180, 61810, 500.0
9, 2.21875, 22.19601273536682, 200, 71810, 500.0
10, 2.515625, 24.883376121520996, 220, 81810, 500.0
11, 2.8125, 26.310023546218872, 240, 91810, 500.0
12, 3.09375, 29.474750995635986, 260, 101810, 500.0
13, 3.375, 33.28515696525574, 280, 111810, 500.0
14, 3.703125, 35.592897176742554, 300, 121810, 500.0
15, 4.0, 38.76340365409851, 320, 131810, 500.0
16, 4.3125, 40.40187954902649, 340, 141810, 500.0
17, 4.59375, 41.80886244773865, 360, 151810, 500.0
18, 4.90625, 43.96011519432068, 380, 161810, 500.0
19, 5.203125, 47.2531099319458, 400, 171810, 500.0
20, 5.515625, 49.15598201751709, 420, 181810, 500.0
21, 5.8125, 51.81707978248596, 440, 191810, 500.0
22, 6.109375, 53.279067516326904, 460, 201810, 500.0
23, 6.421875, 55.19320321083069, 480, 211810, 500.0
24, 6.734375, 56.54525804519653, 500, 221810, 500.0
25, 7.03125, 59.71859884262085, 520, 231810, 500.0
26, 7.328125, 61.22379231452942, 540, 241743, 496.65
27, 7.625, 63.288639545440674, 560, 251743, 500.0
28, 7.921875, 65.95872330665588, 580, 261743, 500.0
29, 8.21875, 68.12797522544861, 600, 271743, 500.0
30, 8.53125, 70.98859882354736, 620, 281743, 500.0
31, 8.828125, 72.59843111038208, 640, 291743, 500.0
32, 9.109375, 75.21713733673096, 660, 301743, 500.0
33, 9.40625, 77.26343059539795, 680, 311743, 500.0
34, 9.703125, 79.53474760055542, 700, 321743, 500.0
35, 9.984375, 82.07321524620056, 720, 331743, 500.0
36, 10.296875, 84.03888392448425, 740, 341743, 500.0
37, 10.609375, 85.45348525047302, 760, 351743, 500.0
38, 10.90625, 86.99644494056702, 780, 361743, 500.0
39, 11.203125, 89.79738211631775, 800, 371743, 500.0
40, 11.484375, 91.32347750663757, 820, 381743, 500.0
41, 11.8125, 94.59259581565857, 840, 391743, 500.0
42, 12.140625, 96.64053273200989, 860, 401743, 500.0
43, 12.421875, 98.16270995140076, 880, 411743, 500.0
44, 12.703125, 100.37306475639343, 900, 421743, 500.0
45, 13.0, 103.3752224445343, 920, 431666, 496.15
46, 13.3125, 104.89717483520508, 940, 441666, 500.0
47, 13.609375, 106.50692915916443, 960, 451666, 500.0
48, 13.90625, 107.90995764732361, 980, 461666, 500.0
49, 14.203125, 110.34996104240417, 1000, 471638, 498.6
50, 14.5, 111.88498282432556, 1020, 481638, 500.0
51, 14.796875, 114.53728866577148, 1040, 491638, 500.0
52, 15.109375, 117.6424126625061, 1060, 501638, 500.0
53, 15.40625, 120.76777148246765, 1080, 511638, 500.0
54, 15.703125, 122.36110472679138, 1100, 521638, 500.0
55, 15.984375, 123.75753903388977, 1120, 531615, 498.85
56, 16.296875, 125.86428380012512, 1140, 541615, 500.0
57, 16.59375, 127.3468759059906, 1160, 551615, 500.0
58, 16.90625, 129.0063111782074, 1180, 561615, 500.0
59, 17.203125, 130.55128836631775, 1200, 571615, 500.0
60, 17.5, 132.18978333473206, 1220, 581615, 500.0
61, 17.8125, 133.9329855442047, 1240, 591615, 500.0
62, 18.09375, 135.5794162750244, 1260, 601615, 500.0
63, 18.375, 137.12083864212036, 1280, 611615, 500.0
64, 18.671875, 138.74681520462036, 1300, 621615, 500.0
65, 18.96875, 140.4539773464203, 1320, 631615, 500.0
66, 19.28125, 141.94565892219543, 1340, 641615, 500.0
67, 19.578125, 143.20618891716003, 1360, 651615, 500.0
68, 19.859375, 144.7321708202362, 1380, 661527, 495.6
69, 20.15625, 146.32837891578674, 1400, 671527, 500.0
70, 20.453125, 147.84581065177917, 1420, 681527, 500.0
71, 20.734375, 149.21108484268188, 1440, 691527, 500.0
72, 21.078125, 150.8745265007019, 1460, 701527, 500.0
73, 21.375, 152.42290210723877, 1480, 711503, 498.8
74, 21.671875, 154.15108489990234, 1500, 721503, 500.0
75, 21.984375, 155.92969608306885, 1520, 731503, 500.0
76, 22.28125, 157.4814805984497, 1540, 741503, 500.0
77, 22.578125, 158.94698357582092, 1560, 751503, 500.0
78, 22.875, 160.28387641906738, 1580, 761503, 500.0
79, 23.15625, 162.079594373703, 1600, 771503, 500.0
80, 23.46875, 163.5742084980011, 1620, 781503, 500.0
81, 23.75, 165.19234371185303, 1640, 791467, 498.2
82, 24.0625, 166.6591031551361, 1660, 801467, 500.0
83, 24.359375, 168.3551127910614, 1680, 811467, 500.0
84, 24.640625, 169.74894213676453, 1700, 821467, 500.0
85, 24.953125, 171.4410843849182, 1720, 831467, 500.0
86, 25.25, 172.9098517894745, 1740, 841463, 499.8
87, 25.546875, 174.2138078212738, 1760, 851463, 500.0
88, 25.84375, 176.03206133842468, 1780, 861393, 496.5
89, 26.15625, 177.79618191719055, 1800, 871393, 500.0
90, 26.484375, 179.3352394104004, 1820, 881393, 500.0
91, 26.796875, 180.89878225326538, 1840, 891393, 500.0
92, 27.109375, 182.2917938232422, 1860, 901393, 500.0
93, 27.390625, 184.31026101112366, 1880, 911306, 495.65
94, 27.703125, 185.6859335899353, 1900, 921306, 500.0
95, 28.015625, 187.41613721847534, 1920, 931306, 500.0
96, 28.296875, 188.79430174827576, 1940, 941306, 500.0
97, 28.609375, 190.37871026992798, 1960, 951275, 498.45
98, 28.90625, 191.95618200302124, 1980, 961275, 500.0
99, 29.203125, 194.24188375473022, 2000, 971275, 500.0
100, 29.46875, 195.5287561416626, 2020, 981275, 500.0
101, 29.78125, 197.3458354473114, 2040, 991275, 500.0
102, 30.0625, 199.29744291305542, 2060, 1001275, 500.0
103, 30.359375, 200.72154808044434, 2080, 1011258, 499.15
104, 30.65625, 202.03568816184998, 2100, 1021258, 500.0
105, 30.96875, 203.3911328315735, 2120, 1031258, 500.0
106, 31.265625, 204.9189224243164, 2140, 1041258, 500.0
107, 31.609375, 206.2776381969452, 2160, 1051258, 500.0
108, 31.953125, 207.79240083694458, 2180, 1061258, 500.0
109, 32.25, 210.150395154953, 2200, 1071258, 500.0
110, 32.53125, 211.7384796142578, 2220, 1081258, 500.0
111, 32.84375, 213.0279712677002, 2240, 1091258, 500.0
112, 33.15625, 214.44867420196533, 2260, 1101258, 500.0
113, 33.453125, 216.07081747055054, 2280, 1111231, 498.65
114, 33.75, 217.51084899902344, 2300, 1121231, 500.0
115, 34.03125, 218.9978325366974, 2320, 1131231, 500.0
116, 34.34375, 220.60327124595642, 2340, 1141231, 500.0
117, 34.640625, 222.39341735839844, 2360, 1151152, 496.05
118, 34.9375, 223.81261610984802, 2380, 1161123, 498.55
119, 35.234375, 225.5174539089203, 2400, 1171123, 500.0
120, 35.546875, 226.90458059310913, 2420, 1181123, 500.0
121, 35.875, 228.49419355392456, 2440, 1191123, 500.0
122, 36.1875, 230.17501997947693, 2460, 1201123, 500.0
123, 36.484375, 232.38798666000366, 2480, 1211123, 500.0
124, 36.796875, 234.92385530471802, 2500, 1221123, 500.0
125, 37.078125, 237.2873342037201, 2520, 1231123, 500.0
126, 37.390625, 239.36829948425293, 2540, 1241082, 497.95
