Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 5.55, 126.30, 52, 20000, -200.00
1, 9.45, 238.24, 84, 36000, -200.00
2, 13.67, 355.41, 116, 52000, -200.00
3, 17.56, 468.46, 148, 68000, -200.00
4, 21.44, 568.05, 180, 84000, -200.00
5, 25.34, 681.61, 212, 100000, -200.00
6, 29.52, 795.14, 244, 116000, -200.00
7, 33.45, 903.53, 276, 132000, -200.00
8, 37.38, 1002.05, 308, 148000, -200.00
9, 42.31, 1103.26, 340, 164000, -200.00
10, 46.67, 1201.20, 372, 180000, -200.00
11, 50.69, 1302.70, 404, 196000, -200.00
12, 54.97, 1408.69, 436, 212000, -200.00
13, 58.92, 1515.61, 468, 228000, -200.00
14, 63.05, 1622.01, 500, 244000, -200.00
15, 67.05, 1733.09, 532, 260000, -200.00
16, 71.12, 1815.77, 564, 276000, -200.00
17, 75.03, 1905.37, 596, 292000, -200.00
18, 79.00, 1998.80, 628, 308000, -200.00
19, 83.11, 2100.08, 660, 324000, -200.00
20, 86.98, 2194.78, 692, 340000, -200.00
21, 91.06, 2290.24, 724, 356000, -200.00
22, 95.06, 2392.81, 756, 372000, -200.00
23, 98.95, 2486.14, 788, 388000, -200.00
24, 102.88, 2576.32, 820, 404000, -200.00
25, 106.83, 2664.47, 852, 420000, -200.00
26, 110.83, 2752.09, 884, 436000, -200.00
27, 114.88, 2840.64, 916, 452000, -200.00
28, 118.86, 2927.80, 948, 468000, -200.00
29, 122.89, 3013.90, 980, 484000, -200.00
30, 127.00, 3105.02, 1012, 500000, -200.00
31, 131.09, 3206.16, 1044, 516000, -200.00
32, 135.23, 3290.27, 1076, 532000, -200.00
33, 139.23, 3382.90, 1108, 548000, -200.00
34, 143.11, 3472.08, 1140, 564000, -200.00
35, 147.00, 3562.27, 1172, 578631, -131.55
36, 152.73, 3693.26, 1210, 600631, -200.00
37, 158.47, 3840.27, 1248, 622631, -200.00
38, 164.48, 3985.68, 1286, 644631, -200.00
39, 170.41, 4114.65, 1324, 666631, -200.00
40, 176.05, 4244.83, 1362, 688631, -200.00
41, 181.83, 4380.35, 1400, 710631, -200.00
42, 187.75, 4515.90, 1438, 732631, -200.00
43, 193.55, 4653.19, 1476, 753320, -134.45
44, 199.53, 4776.74, 1514, 774489, -158.45
45, 205.11, 4915.63, 1552, 796489, -200.00
46, 210.83, 5050.37, 1590, 818489, -200.00
47, 216.45, 5175.14, 1628, 840489, -200.00
48, 222.34, 5314.76, 1666, 861315, -141.30
49, 228.61, 5433.77, 1704, 883315, -200.00
50, 234.27, 5549.03, 1742, 904108, -139.65
51, 240.12, 5681.16, 1780, 926108, -200.00
52, 246.00, 5820.11, 1818, 946956, -142.40
53, 251.77, 5951.07, 1856, 967336, -119.00
54, 257.47, 6082.57, 1894, 988004, -133.40
55, 263.34, 6213.92, 1932, 1010004, -200.00
56, 269.23, 6348.76, 1970, 1032004, -200.00
57, 275.06, 6484.84, 2008, 1053905, -195.05
58, 280.73, 6627.43, 2046, 1074945, -152.00
59, 286.48, 6761.68, 2084, 1096945, -200.00
60, 292.33, 6894.51, 2122, 1118945, -200.00
61, 298.20, 7044.27, 2160, 1139614, -133.45
62, 304.02, 7179.53, 2198, 1161614, -200.00
63, 309.77, 7304.80, 2236, 1182302, -134.40
64, 315.50, 7431.54, 2274, 1202833, -126.55
65, 321.19, 7558.29, 2312, 1223349, -125.80
66, 327.02, 7681.27, 2350, 1243875, -126.30
67, 332.61, 7811.68, 2388, 1264830, -147.75
68, 338.31, 7951.39, 2426, 1285995, -158.25
69, 344.11, 8079.31, 2464, 1306836, -142.05
70, 349.91, 8206.73, 2502, 1328836, -200.00
71, 355.86, 8335.76, 2540, 1350836, -200.00
72, 361.48, 8467.70, 2578, 1372836, -200.00
73, 367.31, 8593.84, 2616, 1394836, -200.00
74, 373.25, 8722.61, 2654, 1416836, -200.00
75, 379.12, 8848.10, 2692, 1438836, -200.00
76, 384.91, 8980.89, 2730, 1459560, -136.20
77, 390.70, 9138.60, 2768, 1480597, -151.85
78, 396.25, 9280.45, 2806, 1501225, -131.40
79, 401.86, 9427.57, 2844, 1523225, -200.00
80, 407.75, 9562.53, 2882, 1545225, -200.00
81, 413.69, 9710.26, 2920, 1567225, -200.00
82, 419.56, 9857.33, 2958, 1589225, -200.00
83, 425.45, 9978.60, 2996, 1610009, -139.20
84, 431.06, 10115.72, 3034, 1632009, -200.00
85, 436.86, 10272.98, 3072, 1653767, -187.90
86, 442.38, 10403.22, 3110, 1675767, -200.00
87, 447.97, 10534.75, 3148, 1697767, -200.00
88, 453.61, 10665.08, 3186, 1719767, -200.00
89, 459.23, 10805.73, 3224, 1741767, -200.00
90, 464.70, 10932.06, 3262, 1763767, -200.00
91, 470.44, 11061.59, 3300, 1784546, -138.95
92, 476.42, 11198.29, 3338, 1806546, -200.00
93, 482.44, 11336.60, 3376, 1828546, -200.00
94, 488.44, 11471.29, 3414, 1850546, -200.00
95, 494.11, 11611.78, 3452, 1871785, -161.95
96, 500.25, 11760.12, 3490, 1892642, -142.85
97, 506.09, 11888.99, 3528, 1914642, -200.00
98, 511.83, 12013.48, 3566, 1935013, -118.55
99, 517.53, 12162.31, 3604, 1955756, -137.15
