Iteration, Lambda, VLM Invoked, Phase, Num Frames
0, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
1, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
2, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
3, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
4, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
5, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
6, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
7, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
8, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
9, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
10, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
11, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
12, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
13, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
14, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
15, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
16, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
17, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
18, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
19, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
20, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
21, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
22, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
23, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
24, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
25, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
26, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
27, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
28, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
29, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
30, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
31, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
32, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
33, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
34, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
35, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
36, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
37, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
38, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
39, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
40, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
41, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
42, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
43, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
44, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
45, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
46, 1.000, True, Visual Guidance Active (λ=1.00, VLM invocation probability: 100%), 50
