Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
1, 0.375, 4.9434473514556885, 40, 2660, 112.65
2, 0.421875, 12.59473991394043, 60, 2845, 9.25
3, 0.515625, 21.550429821014404, 80, 5941, 154.8
4, 0.5625, 26.24062705039978, 100, 6131, 9.5
5, 0.671875, 32.6994423866272, 120, 9635, 175.2
6, 0.796875, 39.62481188774109, 140, 13137, 175.1
7, 0.90625, 48.000269174575806, 160, 16495, 167.9
8, 1.015625, 53.75905776023865, 180, 20017, 176.1
9, 1.15625, 57.74853825569153, 200, 23952, 196.75
10, 1.28125, 63.29447054862976, 220, 28148, 209.8
11, 1.421875, 66.80110263824463, 240, 32051, 195.15
12, 1.546875, 72.51561045646667, 260, 35800, 187.45
13, 1.609375, 85.85644936561584, 280, 37386, 79.3
14, 1.625, 92.187424659729, 300, 37573, 9.35
15, 1.75, 101.33036422729492, 320, 41218, 182.25
16, 1.875, 106.61327719688416, 340, 45270, 202.6
17, 1.984375, 118.47717523574829, 360, 49007, 186.85
18, 2.046875, 125.76651740074158, 380, 49933, 46.3
19, 2.1875, 131.54695010185242, 400, 53987, 202.7
20, 2.328125, 147.05195879936218, 420, 58139, 207.6
21, 2.375, 153.9910604953766, 440, 58331, 9.6
22, 2.4375, 161.8242781162262, 460, 59966, 81.75
23, 2.5, 172.0152564048767, 480, 61472, 75.3
24, 2.5625, 179.603853225708, 500, 62314, 42.1
25, 2.671875, 190.38341999053955, 520, 65828, 175.7
26, 2.8125, 203.16272234916687, 540, 69572, 187.2
27, 2.84375, 213.23920273780823, 560, 69755, 9.15
28, 2.96875, 234.362042427063, 580, 73368, 180.65
29, 3.03125, 249.3471817970276, 600, 74969, 80.05
30, 3.21875, 262.53982520103455, 620, 79189, 211.0
31, 3.34375, 271.8564531803131, 640, 83098, 195.45
32, 3.53125, 284.6340398788452, 660, 86980, 194.1
33, 3.6875, 304.8021385669708, 680, 91001, 201.05
34, 3.8125, 327.99102902412415, 700, 95237, 211.8
35, 3.9375, 348.2523527145386, 720, 98996, 187.95
36, 4.078125, 370.3356363773346, 740, 103024, 201.4
37, 4.1875, 384.7757451534271, 760, 106683, 182.95
38, 4.328125, 397.86868047714233, 780, 110539, 192.8
39, 4.359375, 409.0902523994446, 800, 110727, 9.4
40, 4.4375, 428.37602400779724, 820, 112668, 97.05
41, 4.546875, 468.4067358970642, 840, 116691, 201.15
42, 4.6875, 503.0881419181824, 860, 120369, 183.9
43, 4.8125, 532.7583749294281, 880, 124466, 204.85
44, 4.9375, 567.5646991729736, 900, 127948, 174.1
45, 5.0625, 610.0883188247681, 920, 131794, 192.3
46, 5.171875, 638.8921818733215, 940, 134498, 135.2
47, 5.28125, 661.3285682201385, 960, 138059, 178.05
48, 5.4375, 684.471385717392, 980, 141860, 190.05
49, 5.46875, 708.4161591529846, 1000, 142036, 8.8
50, 5.609375, 746.504875421524, 1020, 146014, 198.9
51, 5.734375, 795.8279311656952, 1040, 149940, 196.3
52, 5.84375, 821.1725113391876, 1060, 152535, 129.75
53, 5.96875, 850.0949501991272, 1080, 156755, 211.0
