Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 183.44, 337.17, 52, 14000, -24356.09
1, 381.34, 523.06, 84, 27000, -19451.86
2, 604.52, 676.58, 116, 40000, -22367.99
3, 825.83, 890.65, 148, 53000, -27480.63
4, 1064.80, 1064.15, 180, 66000, -13303.56
5, 1296.50, 1237.45, 212, 79000, -11593.07
6, 1490.80, 1414.42, 244, 92000, -11230.58
7, 1673.78, 1612.83, 276, 105000, -19340.69
8, 1865.20, 1811.17, 308, 118000, -6739.09
9, 2061.58, 2026.87, 340, 131000, -16303.75
10, 2289.39, 2239.92, 372, 144000, -12169.54
11, 2478.05, 2436.65, 404, 157000, -26643.51
12, 2691.19, 2615.03, 436, 170000, -25507.22
13, 2861.39, 2813.41, 468, 183000, -22478.92
14, 3032.08, 3011.47, 500, 196000, -14246.66
15, 3211.83, 3207.37, 532, 209000, -10099.27
16, 3458.62, 3380.30, 564, 222000, -7016.24
