system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
The mountain car environment is a 2D world where the agent (car) is in a U shaped valley, and can accelerate to the left, do no acceleration, or accelerate to the right (corresponding to action 0, 1, 2). The state is a vector of 2 elements, representing position (-1.2 to 0.6) and velocity (-0.07 to 0.07) respectively. Negative means left and positive means right for both position and velocity. The goal is to reach the flag at the far right side of the hill. 
The policy is a linear policy with 9 parameters and works as follows: 
action = argmax([state[0], state[1]] dot W + B)
where 
W = [[params[0], params[1]], [params[2]]
     [params[3]], [params[4], params[5]]]
B = [params[6], params[7], params[8]]
The reward is -1 for each step. The goal is to reach the flag at the far right side of the hill. The agent should pick actions that will help it reach far right side as fast as possible.

# Regarding the parameters **params**:
**params** is an array of 9 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[8]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around -120.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 1.0**.


Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: 1; params[1]: -1; params[2]: 0; params[3]: 2; params[4]: -2; params[5]: 1; params[6]: 0; params[7]: 0; params[8]: 0; f(params): -200.00
params[0]: -1; params[1]: 0; params[2]: 0; params[3]: 0; params[4]: 3; params[5]: 2; params[6]: 0; params[7]: 0; params[8]: 2; f(params): -200.00
params[0]: -2; params[1]: 0; params[2]: -2; params[3]: 0; params[4]: 5; params[5]: 5; params[6]: -1; params[7]: -1; params[8]: 0; f(params): -200.00
params[0]: 2; params[1]: 2; params[2]: 0; params[3]: -2; params[4]: 2; params[5]: 2; params[6]: 0; params[7]: 0; params[8]: 0; f(params): -200.00
params[0]: -2; params[1]: -2; params[2]: 0; params[3]: 0; params[4]: 4; params[5]: 4; params[6]: -1; params[7]: 0; params[8]: 1; f(params): -200.00
params[0]: -2; params[1]: -2; params[2]: -2; params[3]: -2; params[4]: 4; params[5]: 4; params[6]: -3; params[7]: -3; params[8]: 3; f(params): -200.00
params[0]: -1; params[1]: -1; params[2]: 0; params[3]: 0; params[4]: 2; params[5]: 2; params[6]: -2; params[7]: 0; params[8]: 1; f(params): -200.00
params[0]: 4; params[1]: 4; params[2]: 1; params[3]: -1; params[4]: -4; params[5]: -4; params[6]: 0; params[7]: 0; params[8]: 0; f(params): -200.00
params[0]: 0; params[1]: 0; params[2]: 0; params[3]: 0; params[4]: 0; params[5]: 0; params[6]: 0; params[7]: 0; params[8]: 5; f(params): -200.00
params[0]: -1; params[1]: 0; params[2]: 0; params[3]: 0; params[4]: 3; params[5]: 3; params[6]: -2; params[7]: -2; params[8]: 0; f(params): -200.00
params[0]: -2; params[1]: -2; params[2]: 0; params[3]: 0; params[4]: 2; params[5]: 2; params[6]: -2; params[7]: 0; params[8]: 2; f(params): -200.00
params[0]: -2; params[1]: -2; params[2]: 0; params[3]: 0; params[4]: 2; params[5]: 2; params[6]: -2; params[7]: 0; params[8]: 2; f(params): -200.00
params[0]: -1; params[1]: -1; params[2]: 0; params[3]: 0; params[4]: 2; params[5]: 2; params[6]: -2; params[7]: 0; params[8]: 0; f(params): -200.00
params[0]: 5; params[1]: -5; params[2]: 2; params[3]: -3; params[4]: 3; params[5]: -2; params[6]: 1; params[7]: -1; params[8]: 0; f(params): -200.00
params[0]: -2; params[1]: -2; params[2]: -1; params[3]: -1; params[4]: 3; params[5]: 3; params[6]: -1; params[7]: -1; params[8]: 0; f(params): -200.00
params[0]: -2; params[1]: -2; params[2]: 0; params[3]: 0; params[4]: 2; params[5]: 2; params[6]: 0; params[7]: 0; params[8]: 1; f(params): -199.80
params[0]: -2; params[1]: -2; params[2]: -2; params[3]: -2; params[4]: 2; params[5]: 2; params[6]: -4; params[7]: -4; params[8]: 4; f(params): -200.00
params[0]: -4; params[1]: -4; params[2]: 0; params[3]: 0; params[4]: 4; params[5]: 4; params[6]: -2; params[7]: 0; params[8]: 2; f(params): -200.00
