system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
This inverted double pendulum environment involves a cart that can be moved linearly, with one pole attached to it and a second pole attached to the other end of the first pole (leaving the second pole as the only one with a free end). The cart can be pushed left or right, and the goal is to balance the second pole on top of the first pole, which is in turn on top of the cart, by applying continuous forces to the cart.

The obverstation space consists of the following parts (in order):
- state[0]: position of the cart along the linear surface
- state[1]: sine of the angle between the cart and the first pole
- state[2]: sine of the angle between the two poles
- state[3]: cosine of the angle between the cart and the first pole
- state[4]: cosine of the angle between the two poles
- state[5]: velocity of the cart
- state[6]: angular velocity of the angle between the cart and the first pole
- state[7]: angular velocity of the angle between the two poles
- state[8]: constraint force - x

The action space is a single float number between -1 and 1, representing the force applied to the cart. The action is a continuous value that can be positive (pushing right) or negative (pushing left).

The policy is a linear policy with 10 parameters and works as follows: 
action = [state[0], state[1], state[2], state[3], state[4], state[5], state[6], state[7], state[8]] @ W + B
where 
W = [[params[0]],
     [params[1]],
     [params[2]],
     [params[3]],
     [params[4]],
     [params[5]],
     [params[6]],
     [params[7]],
     [params[8]],]
B = [params[9]]

The total reward is: reward = alive_bonus - distance_penalty - velocity_penalty.
alive_bonus: Every timestep that the Inverted Pendulum is healthy (see definition in section “Episode End”), it gets a reward of fixed value healthy_reward (default is 10).
distance_penalty: This reward is a measure of how far the tip of the second pendulum (the only free end) moves.
velocity_penalty: A negative reward to penalize the agent for moving too fast. 

The goal is to keep the second pole balanced on top of the first pole while minimizing the movement of the cart and the poles.

# Regarding the parameters **params**:
**params** is an array of 10 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[9]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 10000.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 0.1**.


Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: -0.9; params[1]: -1.5; params[2]: 4.9; params[3]: 3.8; params[4]: 0.8; params[5]: 4.6; params[6]: 8.3; params[7]: -0.2; params[8]: -2.2; params[9]: 1.4; f(params): 35.26
params[0]: 0.2; params[1]: -4.5; params[2]: 3; params[3]: 5.3; params[4]: -0.3; params[5]: 2.1; params[6]: 3.7; params[7]: 0.4; params[8]: 3.2; params[9]: 0.1; f(params): 44.21
params[0]: 2; params[1]: 4.7; params[2]: -1.2; params[3]: 4.1; params[4]: 1.1; params[5]: -2; params[6]: -4.8; params[7]: 3.5; params[8]: -3.7; params[9]: -0.6; f(params): 16.98
params[0]: 4.3; params[1]: 1.1; params[2]: 0.3; params[3]: -0.1; params[4]: -1.5; params[5]: 3.1; params[6]: 0.1; params[7]: -2.5; params[8]: -2; params[9]: -4.2; f(params): 44.29
params[0]: 0.3; params[1]: -0.8; params[2]: -7.8; params[3]: 2.2; params[4]: 0.4; params[5]: -3.1; params[6]: 2.5; params[7]: 3.5; params[8]: -0.1; params[9]: 1; f(params): 25.55
params[0]: -0.6; params[1]: 1.7; params[2]: -0.5; params[3]: 2.8; params[4]: 0.2; params[5]: -1.2; params[6]: -3.2; params[7]: -4.8; params[8]: -2.2; params[9]: -6.3; f(params): 63.05
params[0]: 2.9; params[1]: -0.4; params[2]: -5.2; params[3]: -2.5; params[4]: -1.2; params[5]: -1.5; params[6]: -3.9; params[7]: 1.1; params[8]: -2.4; params[9]: 3.8; f(params): 16.88
params[0]: 2.3; params[1]: 3.6; params[2]: -1.5; params[3]: -4.1; params[4]: -1.5; params[5]: -2.1; params[6]: 1.8; params[7]: 1.7; params[8]: 2.4; params[9]: -0.1; f(params): 25.51
params[0]: 1.9; params[1]: 4.8; params[2]: 2.5; params[3]: 3; params[4]: -3.6; params[5]: 4; params[6]: -6.6; params[7]: 2.2; params[8]: -1.7; params[9]: -0.7; f(params): 25.73
params[0]: -0.7; params[1]: 3.9; params[2]: 3.5; params[3]: -1.6; params[4]: 4.1; params[5]: -4.3; params[6]: -1; params[7]: 3.3; params[8]: -4.4; params[9]: -3.9; f(params): 25.45
params[0]: -0.8; params[1]: -2.1; params[2]: 0.3; params[3]: 2; params[4]: 0.5; params[5]: -1.2; params[6]: -7.2; params[7]: 1.3; params[8]: -1.2; params[9]: 3.4; f(params): 25.28
params[0]: -3.9; params[1]: -3.2; params[2]: -0.8; params[3]: 0.5; params[4]: -3.4; params[5]: 2.5; params[6]: 0.9; params[7]: -0.3; params[8]: 1.1; params[9]: -0.1; f(params): 16.86
params[0]: 3.8; params[1]: 0.9; params[2]: 3.9; params[3]: -0; params[4]: -0.4; params[5]: 0.7; params[6]: -3; params[7]: 1; params[8]: -0.5; params[9]: 0.4; f(params): 25.78
params[0]: -6; params[1]: 2.6; params[2]: 2.8; params[3]: -5.7; params[4]: 2.3; params[5]: -1; params[6]: -6.6; params[7]: 3.5; params[8]: -0.9; params[9]: -5.6; f(params): 25.35
params[0]: -0.6; params[1]: 1.7; params[2]: 0; params[3]: -0.7; params[4]: 0.5; params[5]: -4.1; params[6]: -4.5; params[7]: -3.6; params[8]: 2.3; params[9]: -1.2; f(params): 72.82
params[0]: -4.6; params[1]: 2; params[2]: 3.7; params[3]: 3.3; params[4]: 3.1; params[5]: -2.2; params[6]: 5.3; params[7]: 4.1; params[8]: 6; params[9]: 1.1; f(params): 25.67
params[0]: 1.6; params[1]: -1.1; params[2]: -6.5; params[3]: 2.6; params[4]: 2.3; params[5]: -2.6; params[6]: -0.8; params[7]: -5.3; params[8]: 0.9; params[9]: -1; f(params): 72.59
params[0]: -0.6; params[1]: 5.1; params[2]: 3.2; params[3]: -1; params[4]: -4; params[5]: -2.3; params[6]: 1.8; params[7]: 0.6; params[8]: -1.6; params[9]: 2.4; f(params): 44.15
params[0]: -0.4; params[1]: 6; params[2]: -5.5; params[3]: -8.4; params[4]: 5; params[5]: 4.9; params[6]: 1.9; params[7]: -1.1; params[8]: -0.1; params[9]: -0.9; f(params): 81.44
params[0]: 5.2; params[1]: 2.3; params[2]: 3.6; params[3]: 4.6; params[4]: 0; params[5]: 0.3; params[6]: -0.8; params[7]: -5.7; params[8]: 0.3; params[9]: 4.3; f(params): 63.16
params[0]: -0.5; params[1]: -3; params[2]: -3; params[3]: 1; params[4]: 1; params[5]: -1; params[6]: 5; params[7]: 5; params[8]: 0; params[9]: 0; f(params): 25.23
params[0]: -1; params[1]: 3; params[2]: 3; params[3]: -1; params[4]: -1; params[5]: -2; params[6]: 5; params[7]: 5; params[8]: 0; params[9]: 0; f(params): 25.68
params[0]: -1.1; params[1]: -2.3; params[2]: -1.8; params[3]: 3.1; params[4]: 2.9; params[5]: -5.5; params[6]: -4.8; params[7]: -5.2; params[8]: -0.4; params[9]: 0.5; f(params): 49.98
params[0]: 0; params[1]: -4; params[2]: -6; params[3]: 2; params[4]: 3; params[5]: -1; params[6]: -5; params[7]: -6; params[8]: 0; params[9]: 0; f(params): 63.09
params[0]: -0.1; params[1]: 4; params[2]: -5; params[3]: -4; params[4]: -5; params[5]: -3; params[6]: -5; params[7]: -6; params[8]: 1; params[9]: 0; f(params): 59.82
params[0]: -0.5; params[1]: 1.7; params[2]: 0; params[3]: -0.7; params[4]: 0.5; params[5]: -4.1; params[6]: -4.5; params[7]: -3.6; params[8]: 2.3; params[9]: -1.2; f(params): 71.50
params[0]: -0.5; params[1]: 2; params[2]: 2; params[3]: -1; params[4]: -1; params[5]: -1; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 64.90
params[0]: -0.5; params[1]: 1.6; params[2]: 0.1; params[3]: -0.6; params[4]: 0.4; params[5]: -4.2; params[6]: -4.6; params[7]: -3.7; params[8]: 2.4; params[9]: -1.1; f(params): 67.41
params[0]: -1; params[1]: 2; params[2]: 3; params[3]: -1; params[4]: -1; params[5]: -4; params[6]: 3; params[7]: 4; params[8]: -1; params[9]: 0; f(params): 25.67
params[0]: -0.6; params[1]: 1.8; params[2]: 0.1; params[3]: -0.8; params[4]: 0.5; params[5]: -4.1; params[6]: -4.5; params[7]: -3.8; params[8]: 2.3; params[9]: -1.2; f(params): 71.24
params[0]: -0.7; params[1]: 1.7; params[2]: 0; params[3]: -0.7; params[4]: 0.5; params[5]: -4.1; params[6]: -4.5; params[7]: -3.6; params[8]: 2.3; params[9]: -1.2; f(params): 71.51
params[0]: -0.2; params[1]: 3; params[2]: 4; params[3]: 1; params[4]: 1; params[5]: -2; params[6]: -3; params[7]: -4; params[8]: 0.5; params[9]: -0.1; f(params): 66.10
params[0]: -0.7; params[1]: 1.7; params[2]: 0.1; params[3]: -0.7; params[4]: 0.4; params[5]: -4.1; params[6]: -4.5; params[7]: -3.5; params[8]: 2.3; params[9]: -1.2; f(params): 67.87
params[0]: 0; params[1]: -5; params[2]: -5; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 88.83
params[0]: 0; params[1]: -5.1; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 92.99
params[0]: -0.1; params[1]: -5.2; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 84.66
params[0]: 0; params[1]: -5; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 91.15
params[0]: 0; params[1]: -5.2; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 94.01
params[0]: 0; params[1]: -5.3; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 89.29
params[0]: 0; params[1]: -5.3; params[2]: -5.2; params[3]: -0.1; params[4]: -0.1; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 83.16
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 95.92
params[0]: -0.5; params[1]: -5.8; params[2]: -5.8; params[3]: 0.5; params[4]: 0.5; params[5]: -4; params[6]: -4; params[7]: -4; params[8]: 0; params[9]: 0; f(params): 85.11
params[0]: -0.1; params[1]: -5.4; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 85.95
params[0]: 0; params[1]: -5.4; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 84.21
params[0]: -0.5; params[1]: -6; params[2]: -6; params[3]: 0; params[4]: 0; params[5]: -5; params[6]: -5; params[7]: -5; params[8]: 0; params[9]: 0; f(params): 93.77
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 92.46
params[0]: 0; params[1]: -5.4; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 92.02
params[0]: -0.1; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 88.82
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 88.27
params[0]: 0.1; params[1]: -5.4; params[2]: -5.2; params[3]: -0.1; params[4]: -0.1; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0.1; params[9]: 0.1; f(params): 90.22
params[0]: 0; params[1]: -6; params[2]: -6; params[3]: 0; params[4]: 0; params[5]: -5.5; params[6]: -5.5; params[7]: -5.5; params[8]: 0; params[9]: 0; f(params): 85.01
params[0]: 0; params[1]: -5.4; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 87.92
params[0]: 0; params[1]: -5.3; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 91.20
params[0]: 0; params[1]: -5.4; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 88.77
params[0]: 0; params[1]: -5.5; params[2]: -5.3; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 92.92
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 84.98
params[0]: 0; params[1]: -4; params[2]: -4; params[3]: 0; params[4]: 0; params[5]: -5; params[6]: -5; params[7]: -5; params[8]: 0; params[9]: 0; f(params): 84.20
params[0]: 0; params[1]: -5.5; params[2]: -5.3; params[3]: 0; params[4]: 0; params[5]: -3.5; params[6]: -3.5; params[7]: -3.5; params[8]: 0; params[9]: 0; f(params): 83.70
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 88.34
params[0]: -0.5; params[1]: -5.9; params[2]: -5.9; params[3]: 0; params[4]: 0; params[5]: -4; params[6]: -4; params[7]: -4; params[8]: 0; params[9]: 0; f(params): 89.26
params[0]: 0.1; params[1]: -5.6; params[2]: -5.4; params[3]: 0.2; params[4]: -0.2; params[5]: -3.4; params[6]: -3.4; params[7]: -3.4; params[8]: 0.1; params[9]: 0.1; f(params): 87.42
params[0]: 0; params[1]: -5.2; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 88.94
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.5; params[6]: -3.5; params[7]: -3.5; params[8]: 0; params[9]: 0; f(params): 88.79
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.2; params[7]: -3.2; params[8]: 0; params[9]: 0; f(params): 87.86
params[0]: 0; params[1]: -5.4; params[2]: -5.2; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 86.44
params[0]: 0; params[1]: -6; params[2]: -6; params[3]: 0; params[4]: 0; params[5]: -5; params[6]: -5; params[7]: -5; params[8]: 0; params[9]: 0; f(params): 79.85
params[0]: 0; params[1]: -6; params[2]: -6; params[3]: 0; params[4]: 0; params[5]: -6; params[6]: -6; params[7]: -6; params[8]: 0; params[9]: 0; f(params): 82.75
params[0]: 0; params[1]: -5; params[2]: -4.9; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 86.52
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 91.54
params[0]: 0; params[1]: -5.5; params[2]: -5.5; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 86.45
params[0]: 0.1; params[1]: -5.3; params[2]: -5.1; params[3]: 0.1; params[4]: -0.1; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0.1; params[9]: 0.1; f(params): 91.08
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3.2; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 85.56
params[0]: 0; params[1]: -5.5; params[2]: -5.3; params[3]: 0; params[4]: 0; params[5]: -3.3; params[6]: -3.3; params[7]: -3.3; params[8]: 0; params[9]: 0; f(params): 90.18
params[0]: 0; params[1]: -5; params[2]: -5; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: 3; params[7]: 3; params[8]: 0; params[9]: 0; f(params): 54.64
params[0]: 0; params[1]: -5.3; params[2]: -5.1; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 90.60
params[0]: 0; params[1]: -5.4; params[2]: -5; params[3]: 0; params[4]: 0; params[5]: -3.1; params[6]: -3.1; params[7]: -3.1; params[8]: 0; params[9]: 0; f(params): 89.19
params[0]: 0.1; params[1]: -6; params[2]: -6; params[3]: -0.1; params[4]: -0.1; params[5]: -6; params[6]: -6; params[7]: -6; params[8]: 0.1; params[9]: 0.1; f(params): 87.78
params[0]: 0.1; params[1]: -4.5; params[2]: -4.5; params[3]: 0.1; params[4]: 0.1; params[5]: -2.5; params[6]: -2.5; params[7]: -2.5; params[8]: -0.1; params[9]: 0.1; f(params): 101.28
params[0]: 0; params[1]: -4.6; params[2]: -4.6; params[3]: 0; params[4]: 0; params[5]: -2.6; params[6]: -2.6; params[7]: -2.6; params[8]: 0; params[9]: 0; f(params): 92.04
params[0]: 0.1; params[1]: -4.4; params[2]: -4.4; params[3]: 0.1; params[4]: 0.1; params[5]: -2.4; params[6]: -2.4; params[7]: -2.4; params[8]: -0.1; params[9]: 0.1; f(params): 93.92
params[0]: -0.5; params[1]: -6; params[2]: -6; params[3]: -0.5; params[4]: -0.5; params[5]: -6; params[6]: -6; params[7]: -6; params[8]: -0.5; params[9]: -0.5; f(params): 73.35
params[0]: 0.1; params[1]: -4.6; params[2]: -4.6; params[3]: 0.1; params[4]: 0.1; params[5]: -2.6; params[6]: -2.6; params[7]: -2.6; params[8]: -0.1; params[9]: 0.1; f(params): 90.22
params[0]: -0.5; params[1]: -4; params[2]: -4; params[3]: 0.5; params[4]: 0.5; params[5]: -3; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 76.25
params[0]: 0; params[1]: 4; params[2]: 4; params[3]: 0; params[4]: 0; params[5]: -3; params[6]: -3; params[7]: -3; params[8]: 0; params[9]: 0; f(params): 73.14
params[0]: 0; params[1]: -4.5; params[2]: -4.5; params[3]: 0; params[4]: 0; params[5]: -2.5; params[6]: -2.5; params[7]: -2.5; params[8]: 0; params[9]: 0; f(params): 88.87
params[0]: 0.1; params[1]: -4.6; params[2]: -4.6; params[3]: 0.1; params[4]: 0.1; params[5]: -2.6; params[6]: -2.6; params[7]: -2.6; params[8]: -0.1; params[9]: 0.1; f(params): 86.29
params[0]: 0; params[1]: -5.5; params[2]: -5.5; params[3]: 0; params[4]: 0; params[5]: -3.5; params[6]: -3.5; params[7]: -3.5; params[8]: 0; params[9]: 0; f(params): 90.02
