Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
1, 0.078125, 2.311584711074829, 40, 497, 12.5
2, 0.109375, 4.325425148010254, 60, 1302, 40.25
3, 0.15625, 6.690684080123901, 80, 2129, 41.35
4, 0.1875, 10.330973148345947, 100, 3006, 43.85
5, 0.234375, 13.207987546920776, 120, 3864, 42.9
6, 0.265625, 17.119860887527466, 140, 4690, 41.3
7, 0.328125, 19.175952196121216, 160, 5527, 41.85
8, 0.390625, 21.188355207443237, 180, 6303, 38.8
9, 0.421875, 23.016871213912964, 200, 7132, 41.45
10, 0.484375, 26.054745197296143, 220, 7918, 39.3
11, 0.546875, 28.08126425743103, 240, 8734, 40.8
12, 0.59375, 29.813623189926147, 260, 9503, 38.45
13, 0.640625, 32.25909209251404, 280, 10298, 39.75
14, 0.671875, 35.36756873130798, 300, 11150, 42.6
15, 0.71875, 37.10805320739746, 320, 11984, 41.7
16, 0.765625, 39.06401014328003, 340, 12766, 39.1
17, 0.796875, 40.83042287826538, 360, 13573, 40.35
18, 0.859375, 43.0158576965332, 380, 14373, 40.0
19, 0.890625, 44.92878770828247, 400, 15203, 41.5
20, 0.9375, 48.0288770198822, 420, 16065, 43.1
21, 0.984375, 50.257325887680054, 440, 16893, 41.4
22, 1.015625, 54.18192982673645, 460, 17708, 40.75
23, 1.0625, 56.26715087890625, 480, 18568, 43.0
24, 1.09375, 60.886229038238525, 500, 19374, 40.3
25, 1.125, 63.594451665878296, 520, 20216, 42.1
26, 1.171875, 65.19838428497314, 540, 21082, 43.3
27, 1.203125, 67.43494486808777, 560, 21901, 40.95
28, 1.25, 72.34738087654114, 580, 22769, 43.4
29, 1.296875, 74.60425639152527, 600, 23530, 38.05
30, 1.34375, 77.05248594284058, 620, 24319, 39.45
31, 1.40625, 79.86005234718323, 640, 25146, 41.35
32, 1.453125, 81.54143762588501, 660, 25914, 38.4
33, 1.515625, 83.50799369812012, 680, 26651, 36.85
34, 1.546875, 84.93312048912048, 700, 27460, 40.45
35, 1.59375, 87.53314566612244, 720, 28290, 41.5
36, 1.640625, 90.79305815696716, 740, 29080, 39.5
37, 1.6875, 93.52573990821838, 760, 29929, 42.45
38, 1.71875, 95.71504998207092, 780, 30742, 40.65
39, 1.765625, 97.26771402359009, 800, 31520, 38.9
40, 1.8125, 98.85128450393677, 820, 32291, 38.55
41, 1.859375, 100.94665122032166, 840, 33133, 42.1
42, 1.890625, 103.57143497467041, 860, 33985, 42.6
43, 1.9375, 106.18650317192078, 880, 34818, 41.65
44, 1.984375, 108.81287741661072, 900, 35678, 43.0
45, 2.03125, 110.33660125732422, 920, 36474, 39.8
46, 2.0625, 112.54283785820007, 940, 37289, 40.75
47, 2.109375, 114.77505540847778, 960, 38092, 40.15
48, 2.15625, 116.67188286781311, 980, 38983, 44.55
49, 2.203125, 118.79447150230408, 1000, 39836, 42.65
50, 2.234375, 120.86941242218018, 1020, 40663, 41.35
51, 2.296875, 122.41769933700562, 1040, 41454, 39.55
52, 2.34375, 124.47043704986572, 1060, 42208, 37.7
53, 2.375, 127.0360906124115, 1080, 43065, 42.85
54, 2.421875, 129.28377079963684, 1100, 43901, 41.8
55, 2.484375, 130.98840618133545, 1120, 44687, 39.3
56, 2.515625, 133.8444561958313, 1140, 45465, 38.9
57, 2.5625, 135.65792322158813, 1160, 46272, 40.35
58, 2.609375, 137.68809342384338, 1180, 47098, 41.3
59, 2.671875, 139.17478442192078, 1200, 47895, 39.85
60, 2.703125, 141.0055286884308, 1220, 48780, 44.25
61, 2.75, 143.96569418907166, 1240, 49597, 40.85
62, 2.828125, 147.655752658844, 1260, 50483, 44.3
63, 2.859375, 149.65996837615967, 1280, 51205, 36.1
64, 2.9375, 151.75445342063904, 1300, 52010, 40.25
65, 2.984375, 153.78068280220032, 1320, 52829, 40.95
66, 3.03125, 155.25609612464905, 1340, 53638, 40.45
67, 3.078125, 158.40013551712036, 1360, 54421, 39.15
68, 3.125, 160.82731795310974, 1380, 55202, 39.05
69, 3.171875, 167.8697326183319, 1400, 56028, 41.3
70, 3.234375, 169.48410987854004, 1420, 56862, 41.7
71, 3.28125, 171.7204270362854, 1440, 57708, 42.3
72, 3.34375, 174.09207153320312, 1460, 58421, 35.65
73, 3.390625, 176.89738059043884, 1480, 59252, 41.55
74, 3.4375, 179.34046936035156, 1500, 60086, 41.7
75, 3.484375, 181.68683433532715, 1520, 60967, 44.05
76, 3.515625, 183.4983057975769, 1540, 61830, 43.15
77, 3.578125, 186.8408546447754, 1560, 62661, 41.55
78, 3.625, 189.1795995235443, 1580, 63482, 41.05
79, 3.671875, 191.2770755290985, 1600, 64255, 38.65
80, 3.75, 193.53017807006836, 1620, 65145, 44.5
81, 3.8125, 195.21481251716614, 1640, 65953, 40.4
82, 3.875, 196.96055221557617, 1660, 66728, 38.75
83, 3.921875, 198.55312275886536, 1680, 67541, 40.65
84, 3.96875, 200.38065576553345, 1700, 68365, 41.2
85, 4.015625, 202.33178782463074, 1720, 69189, 41.2
86, 4.09375, 204.13045072555542, 1740, 69994, 40.25
87, 4.125, 205.87637186050415, 1760, 70949, 47.75
88, 4.203125, 207.37339878082275, 1780, 71752, 40.15
89, 4.265625, 209.38424587249756, 1800, 72608, 42.8
90, 4.3125, 210.96934270858765, 1820, 73393, 39.25
91, 4.359375, 212.75432991981506, 1840, 74153, 38.0
92, 4.390625, 214.60075759887695, 1860, 74990, 41.85
93, 4.453125, 217.021409034729, 1880, 75805, 40.75
94, 4.484375, 219.31283569335938, 1900, 76660, 42.75
95, 4.53125, 221.5540738105774, 1920, 77399, 36.95
96, 4.578125, 223.44120240211487, 1940, 78263, 43.2
97, 4.625, 226.00655364990234, 1960, 79083, 41.0
98, 4.671875, 228.41020965576172, 1980, 79911, 41.4
99, 4.71875, 231.2028706073761, 2000, 80708, 39.85
100, 4.765625, 233.56979870796204, 2020, 81540, 41.6
