system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
The mountain car continuous environment is a 2D world where the agent (car) is in a U shaped valley, and a torque can be applied to the car (left is negative and right is positive). 
The state is a vector of 2 elements, representing position (-1.2 to 0.6) and velocity (-0.07 to 0.07) respectively. Negative means left and positive means right for both position and velocity. The goal is to reach the flag at the far right side of the hill. 
The policy is a linear policy with 3 parameters and works as follows: 
action = position * params[0] + velocity * params[1] + params[2]
The reward is -0.1 * action^2 for each step, and 100 if the cart reaches goal. The goal is to reach the flag at the far right side of the hill. 

# Regarding the parameters **params**:
**params** is an array of 3 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[2]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 100.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 1.0**.


Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: 1; params[1]: 0; params[2]: 0; f(params): -47.23
params[0]: -1; params[1]: -1; params[2]: 0; f(params): -19.03
params[0]: 2; params[1]: 0; params[2]: 0; f(params): -279.98
params[0]: 5; params[1]: 0; params[2]: 0; f(params): -1671.03
params[0]: 0; params[1]: 0; params[2]: 3; f(params): -899.10
params[0]: 0; params[1]: 2; params[2]: 1; f(params): -26.42
params[0]: 1; params[1]: 0.5; params[2]: 0; f(params): -50.03
params[0]: -3; params[1]: -1; params[2]: 0; f(params): -105.69
params[0]: -5; params[1]: 0; params[2]: 5; f(params): -4112.00
params[0]: -2; params[1]: 0; params[2]: 0; f(params): -57.32
params[0]: -1; params[1]: 2; params[2]: 1; f(params): -165.92
params[0]: -0.5; params[1]: 1; params[2]: 0.5; f(params): -47.16
params[0]: -4; params[1]: -1; params[2]: 2; f(params): -1014.20
params[0]: 4; params[1]: -1; params[2]: -2; f(params): -2726.37
params[0]: 0; params[1]: 2; params[2]: 2; f(params): -399.87
params[0]: 3; params[1]: -1; params[2]: 1; f(params): -165.92
params[0]: -1; params[1]: 1; params[2]: 2; f(params): -518.95
params[0]: 0; params[1]: 0; params[2]: 1; f(params): -99.90
params[0]: 1; params[1]: 1; params[2]: 0; f(params): -54.72
params[0]: 0; params[1]: 0; params[2]: 2; f(params): -399.60
params[0]: -2; params[1]: 0; params[2]: 2; f(params): -662.71
params[0]: -2; params[1]: 1; params[2]: 0; f(params): -62.73
params[0]: -3; params[1]: 0; params[2]: 1; f(params): -359.00
