Iteration, CPU Time, API Time (LLM+VLM), Total Episodes, Total Steps, Total Reward
0, 0.62, 21.93, 41, 1312, 51.25
1, 0.83, 40.18, 62, 2082, 37.05
2, 1.03, 64.03, 83, 2896, 38.80
3, 1.33, 97.45, 104, 3133, 9.30
4, 1.52, 114.78, 125, 4158, 50.75
5, 1.72, 130.79, 146, 5133, 46.95
6, 1.94, 148.23, 167, 6158, 49.35
7, 2.17, 164.17, 188, 7465, 63.35
8, 2.41, 205.51, 209, 8480, 49.05
9, 2.72, 233.00, 230, 9101, 29.55
10, 2.92, 248.02, 251, 10054, 46.50
11, 3.19, 260.65, 272, 10311, 9.35
12, 3.41, 316.70, 293, 11200, 44.00
13, 3.62, 332.42, 314, 11418, 9.30
14, 3.80, 347.86, 335, 12323, 44.85
15, 4.20, 402.10, 356, 12615, 9.20
16, 4.44, 419.54, 377, 13527, 45.15
17, 4.69, 439.63, 398, 14431, 43.00
18, 4.92, 462.00, 419, 15479, 49.90
