system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
“Reacher” is a two-jointed robot arm. The goal is to move the robot’s end effector (called fingertip) close to a target that is spawned at a random position.

The observation space consists of the following parts (in order):
cos(qpos) (2 elements): The cosine of the angles of the two arms.
sin(qpos) (2 elements): The sine of the angles of the two arms.
qpos (2 elements): The coordinates of the target.
qvel (2 elements): The angular velocities of the arms (their derivatives).
xpos (2 elements): The vector between the target and the reacher’s.

The action space is a Box(-1, 1, (2,), float32). An action (a, b) represents the torques applied at the hinge joints.

The policy is a linear policy and works as follows: 
action = state @ W + B, where
state = [state[0], state[1], state[2], state[3], state[4], state[5], state[6], state[7], state[8], state[9]]
W = [[params[0], params[1]],
    [params[2], params[3]],
    [params[4], params[5]],
    [params[6], params[7]],
    [params[8], params[9]],
    [params[10], params[11]],
    [params[12], params[13]],
    [params[14], params[15]],
    [params[16], params[17]],
    [params[18], params[19]]]
b = [params[20], params[21]]

The total reward is: reward = reward_distance + reward_control.
reward_distance: This reward is a measure of how far the fingertip of the reacher (the unattached end) is from the target, with a more negative value assigned if the reacher’s fingertip is further away from the target.
reward_control: A negative reward to penalize the walker for taking actions that are too large. It is measured as the negative squared Euclidean norm of the action.

The goal is to minimize the distance between the fingertip and the target while minimizing the control cost. 

You will receive:
1. Numerical feedback: parameters and their rewards
2. Neighborhood behavioral landscape (when available): a local exploration around key anchor policies (CURRENT, BEST, WORST) — each showing VLM visual analysis of the agent's behavior and how small parameter perturbations affect reward

# Regarding the parameters **params**:
**params** is an array of 22 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with training examples showing past parameters and rewards.
2. I will provide a **Neighborhood Behavioral Landscape** — for each anchor policy (CURRENT, BEST, WORST), I show its behavior and the behavior of its nearby neighbors (obtained by small Poisson-sampled parameter perturbations). Use this to understand which local directions improve or hurt performance.
3. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[21]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input, **explicitly referencing the neighborhood landscape and numerical trends**.
4. I will then provide the function's value f(params) at that point, and the current iteration.
5. We will repeat steps 2-4 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around -5.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 0.1**.

Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: 5; params[1]: 5.3; params[2]: -2.6; params[3]: -5.2; params[4]: 3.8; params[5]: -2.6; params[6]: -4.3; params[7]: 3.3; params[8]: -6.6; params[9]: -5.5; params[10]: 2.1; params[11]: 2.3; params[12]: 3.5; params[13]: 3.1; params[14]: 2.1; params[15]: -1.3; params[16]: 0.3; params[17]: -1.7; params[18]: -5.4; params[19]: 2.9; params[20]: 3.1; params[21]: 0.8; f(params): -7528249.76
params[0]: 1.5; params[1]: -1.1; params[2]: 3.9; params[3]: -4.5; params[4]: -0.2; params[5]: 5.8; params[6]: 1.5; params[7]: 4.2; params[8]: -5.4; params[9]: 0.1; params[10]: 3.6; params[11]: 0.7; params[12]: -1; params[13]: 3.7; params[14]: -1.8; params[15]: -2.8; params[16]: 8.1; params[17]: -5.1; params[18]: -1.6; params[19]: -2.6; params[20]: -1.1; params[21]: 1.6; f(params): -12920.00
params[0]: 0.9; params[1]: 1.1; params[2]: 0.8; params[3]: -2.9; params[4]: 1.6; params[5]: -1; params[6]: 2; params[7]: 7.6; params[8]: 3.9; params[9]: 4.6; params[10]: 3.1; params[11]: -0.1; params[12]: 2; params[13]: 3.1; params[14]: 1; params[15]: -1.5; params[16]: 1.1; params[17]: 3.2; params[18]: -0.9; params[19]: 0.2; params[20]: -1.1; params[21]: -2.2; f(params): -4485152.77
params[0]: -1.1; params[1]: -3.7; params[2]: 3.4; params[3]: -0.3; params[4]: -0.7; params[5]: 6.2; params[6]: 3; params[7]: -2.4; params[8]: -2.5; params[9]: 0.7; params[10]: -2.8; params[11]: 2.8; params[12]: 1.8; params[13]: -3.2; params[14]: 6.1; params[15]: 1; params[16]: -3.7; params[17]: 2.8; params[18]: 0.3; params[19]: -5.8; params[20]: 0.2; params[21]: -0.7; f(params): -682169.82
params[0]: 0.6; params[1]: 0.8; params[2]: 3.7; params[3]: 3.1; params[4]: -4.7; params[5]: 2.4; params[6]: -2.1; params[7]: 1; params[8]: -6.5; params[9]: -2.1; params[10]: 1.9; params[11]: -0.8; params[12]: -0.1; params[13]: 0.5; params[14]: 1.8; params[15]: 1; params[16]: -2.2; params[17]: 0; params[18]: 1.5; params[19]: -2.2; params[20]: -2.7; params[21]: 1.9; f(params): -82371.88
params[0]: 0.2; params[1]: -2.7; params[2]: -2.2; params[3]: 2; params[4]: 1.6; params[5]: 1.1; params[6]: 2.1; params[7]: -0.1; params[8]: 2.7; params[9]: -0.9; params[10]: 0.3; params[11]: -1.9; params[12]: -0.5; params[13]: -1.2; params[14]: -1.6; params[15]: 0.4; params[16]: 2.9; params[17]: -0.7; params[18]: -3; params[19]: -0; params[20]: -3.2; params[21]: -1.8; f(params): -73757.41
params[0]: -1.9; params[1]: 2.1; params[2]: 4.3; params[3]: -4.5; params[4]: -1.1; params[5]: -2.1; params[6]: -0.8; params[7]: 2.2; params[8]: 1.1; params[9]: 2.8; params[10]: -3.7; params[11]: 1.9; params[12]: -6.6; params[13]: 2.6; params[14]: 5.1; params[15]: -0.3; params[16]: -2.1; params[17]: 2.5; params[18]: 1.4; params[19]: -1.4; params[20]: -3; params[21]: -2; f(params): -87103.84
params[0]: -0.1; params[1]: 4.9; params[2]: 2.7; params[3]: -1.2; params[4]: -1.5; params[5]: -3.9; params[6]: 0.9; params[7]: 2.2; params[8]: 3.6; params[9]: 2.8; params[10]: 1.2; params[11]: 1.1; params[12]: 5.2; params[13]: 1.2; params[14]: 1.9; params[15]: 1.4; params[16]: -0.9; params[17]: -3.2; params[18]: -1.3; params[19]: -5.5; params[20]: -2.2; params[21]: -2.7; f(params): -8787435.35
params[0]: 0.2; params[1]: -2.4; params[2]: -7.2; params[3]: -1.2; params[4]: -1.5; params[5]: 0.2; params[6]: -2.1; params[7]: 2.6; params[8]: 0.4; params[9]: 0.8; params[10]: -0; params[11]: 1; params[12]: 4.9; params[13]: 1.3; params[14]: 1.6; params[15]: 2.6; params[16]: -3.3; params[17]: -0.1; params[18]: 2.7; params[19]: -0.2; params[20]: -3.7; params[21]: 0; f(params): -8409634.05
params[0]: 4.1; params[1]: 2.3; params[2]: -4.5; params[3]: -0.9; params[4]: 3.6; params[5]: -2.8; params[6]: -6.9; params[7]: -1.8; params[8]: -4; params[9]: 1.1; params[10]: 5.6; params[11]: -1.6; params[12]: -3.5; params[13]: 1.3; params[14]: 2.9; params[15]: 0.3; params[16]: -2.8; params[17]: -0.5; params[18]: -0.2; params[19]: 2.4; params[20]: -2.9; params[21]: 2.8; f(params): -88842.39
params[0]: 0.9; params[1]: 0.5; params[2]: -5.5; params[3]: -0.2; params[4]: 0.4; params[5]: 3.8; params[6]: 2.6; params[7]: -3.6; params[8]: 1.2; params[9]: -3; params[10]: 0.2; params[11]: -1.4; params[12]: -2.8; params[13]: -0.3; params[14]: 4.4; params[15]: 0.9; params[16]: 1.2; params[17]: 1.9; params[18]: -0.5; params[19]: -5.4; params[20]: 2; params[21]: 3.2; f(params): -558409.09
